country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Philippines,1.92,2.88,2.52,9.340000000000002,6.620000000000001,1.62,0.535,6.33,5.24,2.975
Poland,3.54,8.205,3.5600000000000005,7.359999999999999,8.51,2.8200000000000003,0.45999999999999996,7.155,7.95,4.13
Portugal,5.85,10.995,3.3100000000000005,8.49,7.45,3.8100000000000005,0.8300000000000001,7.02,7.5200000000000005,4.595000000000001
Paraguay,1.95,1.9799999999999998,3.0300000000000002,8.97,7.32,2.0100000000000002,1.4050000000000002,7.5,5.220000000000001,3.1050000000000004
Qatar,3.12,5.744999999999999,6.19,4.33,9.57,1.9050000000000002,1.79,10.575,5.5600000000000005,1.47
Romania,3.9,8.85,3.5100000000000002,8.68,7.07,2.545,0.8650000000000001,6.255,7.26,3.88
Senegal,1.125,2.3249999999999997,3.0,8.82,4.6000000000000005,1.375,0.58,4.815,3.4600000000000004,3.29
Singapore,6.78,5.625,5.86,3.66,7.93,2.975,0.34,9.075,7.7700000000000005,2.92
El Salvador,2.61,3.57,2.31,9.290000000000001,7.15,2.2550000000000003,0.5599999999999999,5.865,5.43,2.9600000000000004
Serbia,3.8249999999999997,10.275,3.1100000000000003,7.56,7.83,2.35,0.67,6.255,6.91,3.0850000000000004
Slovenia,5.79,11.069999999999999,3.7700000000000005,7.109999999999999,9.01,3.285,1.3550000000000002,6.96,8.3,4.5600000000000005
Syria,1.68,5.595,1.31,8.92,6.890000000000001,1.705,0.135,2.925,2.62,0.265
Togo,0.735,4.919999999999999,2.45,8.85,2.62,1.335,1.165,6.494999999999999,3.59,1.9000000000000001
Tunisia,2.34,2.85,2.35,9.26,7.4,2.22,0.31000000000000005,4.635,5.670000000000001,1.975
Turkey,2.775,9.839999999999998,4.62,8.440000000000001,7.65,2.6350000000000002,0.42500000000000004,5.534999999999999,5.82,2.295
Tanzania,0.7649999999999999,3.42,3.48,9.020000000000001,2.0500000000000003,1.225,1.235,9.525,3.4000000000000004,1.82
Ukraine,2.6999999999999997,8.715,2.6,8.950000000000001,7.57,2.035,0.9,6.0,6.970000000000001,2.58
Uruguay,4.8,5.7749999999999995,3.09,8.16,7.390000000000001,3.3100000000000005,1.31,6.21,6.470000000000001,4.705
Venezuela,1.935,1.32,0.13,9.209999999999999,7.57,2.265,0.305,4.095,4.5,0.785
Vietnam,2.73,5.895,3.53,9.16,6.76,2.065,0.25,9.299999999999999,5.49,0.8
South Africa,1.9799999999999998,6.09,2.68,8.75,6.620000000000001,1.875,0.485,4.154999999999999,3.45,3.8000000000000003
Zambia,0.87,2.175,3.6,9.18,2.84,1.295,1.0650000000000002,7.08,2.37,2.75
Zimbabwe,1.035,8.01,4.71,9.120000000000001,3.3000000000000003,0.875,1.095,7.635,2.4000000000000004,1.5150000000000001
