country,eco_gdp_2022,eco_inflation_2022,eco_invest_2020,eco_trade_2020,eco_gdp_2022_n,eco_inflation_2022_n,eco_invest_2020_n,eco_trade_2020_n
Haiti,2800.0,30.2,22.8,-20.5,2.0879824,12.865997,39.23548,48.24312
Hungary,35300.0,14.5,27.3,1.93,30.198765,7.0397444,47.349438,69.54416
Indonesia,12400.0,9.57,32.3,1.69,10.391475,5.210227,56.364944,69.31624
India,7100.0,8.23,28.8,-0.394,5.8072553,4.7129545,50.05409,67.337135
Ireland,114000.0,6.58,43.1,18.8,98.2701,4.1006417,75.83844,85.565056
Iran,15300.0,50.6,42.2,-4.96,12.899822,20.436413,74.21565,63.000954
Iraq,9200.0,18.9,22.3,-2.24,7.6236444,8.67258,38.33393,65.584045
Iceland,55000.0,8.92,21.4,-1.52,47.238224,4.969013,36.711143,66.26781
Israel,44300.0,4.62,24.1,4.07,37.983288,3.3732884,41.57952,71.576454
Italy,43800.0,2.98,17.7,3.6,37.550816,2.764686,30.039669,71.130104
Jamaica,10000.0,12.8,,,8.315602,6.4088764,,
Jordan,9320.0,2.6,,,7.727438,2.6236687,,
Japan,41600.0,0.269,25.3,-0.269,35.64793,1.7586373,43.743237,67.45584
Kazakhstan,26100.0,19.8,28.8,4.03,22.241251,9.006568,50.05409,71.53846
Kenya,4880.0,6.01,19.7,-7.96,3.8870726,3.8891156,33.64587,60.15195
Kyrgyz Republic,5190.0,16.7,,,4.155206,7.856162,,
Cambodia,4530.0,4.07,24.9,0.71,3.584341,3.169184,43.022,68.38557
Kiribati,2000.0,4.64,18.2,-71.3,1.3960247,3.3807101,30.94122,0.0
South Korea,45500.0,1.28,31.9,3.69,39.021225,2.1338181,55.643707,71.215576
Kuwait,49200.0,19.0,,,42.22153,8.709689,,
Lao,7950.0,15.8,,,6.5424604,7.522173,,
Lebanon,13200.0,,8.1,-17.4,11.083433,,12.729897,51.187084
Libya,19800.0,24.1,,,16.792084,10.602293,,
Sri Lanka,12200.0,48.8,33.0,-6.16,10.218486,19.768435,57.62712,61.861347
Lesotho,2280.0,4.23,26.1,-52.1,1.6382099,3.2285597,45.185726,18.233622
Lithuania,39600.0,16.5,14.6,9.28,33.918037,7.7819424,24.450054,76.524216
Luxembourg,116000.0,5.68,17.3,34.0,100.0,3.7666528,29.318426,100.0
Latvia,32700.0,12.8,21.4,1.31,27.949902,6.4088764,36.711143,68.95536
Morocco,8060.0,3.05,28.8,-7.26,6.637604,2.790663,50.05409,60.81671
Moldova,12900.0,19.3,23.9,-23.4,10.823949,8.821018,41.2189,45.48908
Madagascar,1500.0,8.33,17.7,-8.73,0.9635511,4.7500644,30.039669,59.420704
Mexico,19500.0,6.72,20.2,1.62,16.5326,4.152596,34.54742,69.24976
Marshall Islands,6120.0,1.07,20.3,-37.0,4.959607,2.0558875,34.72773,32.5736
North Macedonia,17100.0,6.67,29.9,-12.7,14.456727,4.134041,52.037506,55.65052
Mali,2130.0,5.73,16.5,-5.68,1.5084678,3.785208,27.875948,62.317192
Malta,48200.0,5.27,21.7,14.4,41.356583,3.6145024,37.252075,81.38651
Montenegro,22100.0,12.4,31.2,-35.0,18.781462,6.2604365,54.38154,34.472935
Mongolia,12100.0,17.7,22.4,2.48,10.131991,8.227261,38.514244,70.06648
Mauritania,5440.0,2.23,38.7,-3.96,4.371443,2.4863622,67.9048,63.95062
Mauritius,22800.0,9.74,18.2,-7.13,19.386925,5.273314,30.94122,60.940174
Malaysia,28300.0,6.45,19.7,6.37,24.144135,4.052399,33.64587,73.76069
Namibia,9490.0,6.76,13.9,-9.57,7.874479,4.16744,23.187883,58.622986
Niger,1270.0,3.78,28.5,-16.0,0.7646133,3.0615654,49.513165,52.51662
Nicaragua,5820.0,8.92,19.4,-5.12,4.700123,4.969013,33.104942,62.849003
Netherlands,58600.0,5.54,21.8,10.1,50.35203,3.7146993,37.43238,77.30294
Norway,67500.0,28.1,31.4,-0.933,58.050064,12.086689,54.742157,66.825264
Nepal,4000.0,7.33,30.4,-27.3,3.125919,4.378966,52.939056,41.785378
New Zealand,44900.0,5.3,23.0,-0.494,38.50226,3.6256356,39.596107,67.242165
Oman,35300.0,24.6,27.6,2.24,30.198765,10.787843,47.890377,69.838554
Pakistan,5450.0,14.0,14.8,-8.12,4.380092,6.8541946,24.810675,60.000004
Panama,33300.0,2.45,,,28.46887,2.568004,,
Peru,12700.0,4.38,18.4,1.59,10.650959,3.2842247,31.30184,69.22127
Philippines,8580.0,5.48,17.4,-7.76,7.087377,3.6924334,29.49874,60.341877
Papua New Guinea,3770.0,15.4,,,2.9269812,7.373733,,
Poland,36800.0,10.8,18.8,5.66,31.496185,5.666679,32.02308,73.086426
Portugal,35700.0,5.0,19.1,-2.14,30.544744,3.5143056,32.564014,65.679016
Paraguay,13500.0,7.57,20.0,3.78,11.3429165,4.46803,34.1868,71.30104
Palestine,5720.0,1.54,24.3,-36.6,4.613628,2.230304,41.940132,32.95347
Qatar,97100.0,26.1,43.8,8.22,83.6525,11.344491,77.10062,75.51757
Romania,32700.0,13.4,24.5,-4.31,27.949902,6.6315355,42.30076,63.618237
Russia,27600.0,15.8,23.5,5.08,23.538671,7.522173,40.497658,72.535614
Rwanda,2360.0,16.0,23.6,-16.5,1.7074057,7.5963926,40.67797,52.04179
Saudi Arabia,50000.0,16.7,27.7,0.0905,42.913486,7.856162,48.070683,67.79725
Sudan,3570.0,117.0,5.79,0.295,2.7539918,45.077374,8.564732,67.99145
Senegal,3560.0,8.45,35.6,-18.6,2.7453423,4.7945967,62.315178,50.047485
Singapore,108000.0,9.05,22.6,31.2,93.08042,5.0172563,38.87487,97.34093
Solomon Islands,2250.0,6.99,16.7,-4.34,1.6122615,4.252792,28.23657,63.589745
Sierra Leone,1640.0,25.3,12.1,-21.4,1.0846437,11.047611,19.9423,47.388412
El Salvador,9400.0,7.52,17.1,-17.4,7.7966337,4.449475,28.95781,51.187084
San Marino,64500.0,,18.1,24.1,55.455223,,30.760912,90.59829
Somalia,1160.0,6.54,,-50.4,0.6694691,4.0857983,,19.848055
Serbia,20500.0,10.4,24.2,-8.28,17.397547,5.518239,41.759827,59.848057
South Sudan,386.0,,,,0.0,,,
Suriname,14900.0,43.9,,,12.553843,17.950052,,
Slovak Republic,33200.0,7.48,19.9,1.62,28.382376,4.434631,34.006493,69.24976
Slovenia,42200.0,6.48,20.1,8.94,36.1669,4.063532,34.367115,76.20133
Sweden,54800.0,5.98,25.1,4.48,47.065235,3.8779826,43.38262,71.96581
Eswatini,9130.0,8.79,12.3,2.95,7.563098,4.92077,20.302921,70.51282
Seychelles,29800.0,-4.47,56.5,-23.8,25.441555,0.0,100.0,45.109215
Syria,3350.0,,,-18.8,2.5637033,,,49.85755
Chad,1410.0,18.7,20.6,-15.3,0.8857059,8.59836,35.268665,53.18139
Togo,2210.0,5.02,19.8,-8.93,1.5776637,3.5217278,33.82618,59.230774
Thailand,17500.0,4.72,23.7,5.19,14.802706,3.410398,40.858276,72.640076
Tajikistan,4140.0,6.02,33.5,-21.1,3.2470117,3.8928266,58.52867,47.673317
Turkmenistan,14700.0,11.2,,-0.299,12.380854,5.8151183,,67.42735
Timor-Leste,4090.0,11.4,16.5,-11.4,3.2037642,5.889338,27.875948,56.88509
Tonga,6040.0,,24.5,-44.4,4.8904114,,42.30076,25.54606
Tunisia,10600.0,7.57,12.5,-8.15,8.83457,4.46803,20.663542,59.971508
Turkey,33000.0,96.0,31.3,-3.1,28.209387,37.284298,54.561844,64.767334
Tanzania,2620.0,2.72,38.7,-0.955,1.932292,2.6682003,67.9048,66.80437
Uganda,2280.0,4.92,24.2,-6.17,1.6382099,3.4846177,41.759827,61.851856
Ukraine,10700.0,34.3,8.93,-1.51,8.921065,14.387502,14.226471,66.2773
Uruguay,24400.0,4.41,16.4,4.4,20.770842,3.2953572,27.695637,71.88984
USA,64700.0,7.04,21.1,-2.98,55.628212,4.2713475,36.170216,64.88129
Uzbekistan,8070.0,13.8,40.0,-13.5,6.646254,6.7799754,70.24883,54.890793
Venezuela,6180.0,,,,5.0115037,,,
Vietnam,11400.0,3.86,31.9,5.52,9.526528,3.0912533,55.643707,72.95346
Vanuatu,2790.0,12.4,46.9,-31.6,2.079333,6.2604365,82.69023,37.70181
Samoa,5120.0,5.64,33.2,-19.1,4.09466,3.751809,57.98774,49.57265
South Africa,13500.0,4.76,12.5,4.37,11.3429165,3.425242,20.663542,71.86135
Zambia,3300.0,6.1,32.3,14.3,2.520456,3.9225144,56.364944,81.29156
Zimbabwe,2140.0,265.0,13.1,-2.73,1.5171173,100.0,21.745403,65.118706
