country,com_fixed_2020,com_cell_2020,com_broad_2020,com_pcs_2005,com_fixed_2020_n,com_cell_2020_n,com_broad_2020_n,com_pcs_2005_n,com_s
Netherlands,28.3,123.0,43.2,85.5,23.983050847457626,26.28368073207931,76.46017699115045,96.3915200721696,55.77960716071425
Norway,6.48,108.0,44.4,59.4,5.491525423728813,22.470767666497206,78.58407079646018,66.95985566080289,43.37655488687227
Nepal,2.47,130.0,4.33,0.49,2.093220338983051,28.063040162684292,7.663716814159292,0.5299954894000902,9.587493201306682
New Zealand,16.7,123.0,34.9,51.6,14.152542372881356,26.28368073207931,61.769911504424776,58.16418583671628,40.09258011152543
Oman,13.3,140.0,11.4,5.06,11.271186440677965,30.604982206405694,20.17699115044248,5.6833558863328815,16.934128920964753
Pakistan,1.27,77.3,1.08,,1.076271186440678,14.667005592272497,1.9115044247787611,,4.413695300872984
Panama,18.8,142.0,13.8,4.56,15.932203389830509,31.113370615149975,24.424778761061948,5.119530897609382,19.14747091591295
Peru,6.63,118.0,8.29,10.0,5.61864406779661,25.01270971021861,14.672566371681414,11.253946774921063,14.139466731154423
Philippines,4.22,133.0,7.07,5.44,3.5762711864406778,28.825622775800714,12.513274336283185,6.111862877762743,12.75675779407183
Papua New Guinea,1.7,49.4,0.215,6.64,1.4406779661016949,7.574987290289781,0.3805309734513274,7.465042850699143,4.2153097701354865
Poland,15.0,128.0,21.8,13.9,12.711864406779661,27.55465175394001,38.584070796460175,15.651781686964364,23.625592161036053
Puerto Rico,21.8,107.0,20.5,0.83,18.47457627118644,22.216573462125066,36.283185840707965,0.9133964817320703,19.471933013937885
Portugal,50.6,115.0,40.4,15.3,42.88135593220339,24.250127097102187,71.50442477876106,17.230491655390164,38.9665998658642
Paraguay,3.77,119.0,8.5,7.47,3.194915254237288,25.26690391459075,15.044247787610619,8.400992331980152,12.976764822104702
Palestine,9.14,79.6,7.39,5.27,7.745762711864407,15.251652262328417,13.079646017699115,5.920162381596752,10.499305843372174
French Polynesia,31.1,111.0,21.2,10.9,26.35593220338983,23.233350279613624,37.52212389380531,12.268831754623363,24.84505953285803
Qatar,16.5,138.0,10.7,17.8,13.983050847457626,30.096593797661416,18.938053097345133,20.049616599007667,20.76682858536796
Romania,15.6,116.0,29.2,12.9,13.220338983050848,24.504321301474327,51.68141592920354,14.524131709517365,25.982551980811518
Russia,17.7,164.0,23.2,12.2,15.0,36.70564311133706,41.06194690265487,13.734776725304464,26.6255916848241
Rwanda,0.0888,80.7,0.135,0.21,0.0752542372881356,15.531265887137774,0.23893805309734514,0.21425349571493008,4.014927918309546
Saudi Arabia,16.0,120.0,21.9,12.8,13.559322033898304,25.52109811896289,38.76106194690266,14.411366711772665,23.06321220288413
Sudan,0.291,79.2,0.0648,8.97,0.2466101694915254,15.149974580579563,0.11469026548672566,10.092467298150655,6.400935578427117
Senegal,1.39,116.0,1.08,2.14,1.1779661016949152,24.504321301474327,1.9115044247787611,2.390617952187641,7.496102445033911
Singapore,32.0,143.0,25.5,68.4,27.11864406779661,31.367564819522116,45.13274336283186,77.10870545782589,45.18191442699412
Solomon Islands,1.01,68.6,0.145,4.6,0.8559322033898306,12.455516014234874,0.2566371681415929,5.164636896707262,4.68318057061839
El Salvador,14.2,158.0,9.31,5.09,12.033898305084746,35.180477885104224,16.47787610619469,5.7171853856562915,17.352359420509988
San Marino,47.0,115.0,32.3,86.7,39.83050847457627,24.250127097102187,57.16814159292034,97.74470004510599,54.7483693024262
Somalia,0.55,53.5,0.72,0.91,0.46610169491525427,8.617183528215557,1.2743362831858407,1.0036084799278304,2.840307496561121
Serbia,37.4,120.0,25.2,,31.694915254237287,25.52109811896289,44.60176991150443,,25.45444582117615
Sao Tome and Principe,1.28,79.7,1.15,3.83,1.0847457627118644,15.277071682765634,2.035398230088495,4.296346414073072,5.6733905224097665
Suriname,17.0,148.0,15.2,4.45,14.40677966101695,32.63853584138282,26.902654867256636,4.995489400090213,19.735864942436653
Slovak Republic,11.9,134.0,31.2,35.7,10.084745762711865,29.079816980172854,55.2212389380531,40.234551195308974,33.655088219061696
Slovenia,33.3,120.0,30.8,41.1,28.220338983050844,25.52109811896289,54.51327433628319,46.32386107352278,38.64464312795492
Sweden,14.3,123.0,40.3,83.5,12.11864406779661,26.28368073207931,71.32743362831857,94.13622011727558,50.966494636367514
Eswatini,3.98,106.0,2.31,4.07,3.3728813559322033,21.962379257752925,4.088495575221239,4.566982408660352,8.49768464939168
Seychelles,17.9,174.0,33.1,19.8,15.169491525423727,39.24758515505847,58.584070796460175,22.304916553901666,33.826516007711014
Syria,13.8,80.2,7.45,4.2,11.694915254237289,15.404168784951704,13.185840707964601,4.713576905728462,11.249625413220514
Chad,0.0321,52.2,0.0,0.16,0.02720338983050847,8.286731062531775,0.0,0.15787099684258007,2.1179513623012163
Togo,0.551,77.2,0.624,3.01,0.4669491525423729,14.641586171835282,1.104424778761062,3.371673432566531,4.896158383926312
Thailand,7.0,163.0,16.1,6.86,5.932203389830509,36.45144890696492,28.49557522123894,7.713125845737483,19.648088340942962
Tajikistan,5.26,121.0,0.0629,1.3,4.4576271186440675,25.77529232333503,0.11132743362831858,1.4433919711321606,7.946909711684895
Turkmenistan,12.5,98.6,3.79,7.2,10.59322033898305,20.081342145399088,6.707964601769912,8.096526838069463,11.369763481055378
Tonga,6.65,58.9,4.75,5.86,5.635593220338983,9.989832231825114,8.4070796460177,6.585475868290484,7.654495241618069
Trinidad and Tobago,21.3,131.0,24.8,9.88,18.050847457627118,28.317234367056432,43.89380530973451,11.118628777627425,25.34512897801137
Tunisia,12.6,122.0,11.0,5.62,10.677966101694915,26.02948652770717,19.469026548672566,6.314839873703202,15.622829762944463
Turkey,14.8,97.6,19.9,5.56,12.542372881355933,19.827147941026947,35.22123893805309,6.247180875056382,18.45948515887309
Tuvalu,18.1,81.3,,8.05,15.33898305084746,15.683782409761058,,9.055029318899415,10.019448694876983
Tanzania,0.117,83.0,1.84,0.93,0.09915254237288136,16.115912557193695,3.256637168141593,1.0261614794767704,5.124465936796235
Uganda,0.204,62.4,0.0779,1.04,0.17288135593220338,10.879511947127606,0.13787610619469026,1.1502029769959403,3.08511809656261
Ukraine,7.94,129.0,18.6,3.89,6.728813559322034,27.80884595831215,32.92035398230089,4.364005412719892,17.955504728163742
Uruguay,35.1,133.0,31.0,13.0,29.74576271186441,28.825622775800714,54.86725663716814,14.636896707262064,32.01888470802383
USA,30.3,105.0,36.1,77.3,25.677966101694917,21.708185053380785,63.89380530973451,87.14479025710419,49.6061866804786
Uzbekistan,16.3,99.6,15.8,2.82,13.813559322033898,20.335536349771225,27.964601769911503,3.157419936851601,16.317779344642055
St. Vincent and the Grenadines,16.7,95.9,23.6,13.9,14.152542372881356,19.39501779359431,41.769911504424776,15.651781686964364,22.7423133394662
Venezuela,18.4,58.1,8.99,9.25,15.593220338983048,9.786476868327403,15.91150442477876,10.408209291835814,12.924852730981257
Virgin Islands (U.S.),75.7,79.6,,2.68,64.15254237288136,15.251652262328417,,2.999548940009021,20.6009358938047
Vietnam,3.32,144.0,17.3,6.9,2.8135593220338984,31.621759023894256,30.61946902654867,7.758231844835364,18.203254804328047
Vanuatu,1.11,79.0,0.894,1.42,0.9406779661016951,15.099135739705135,1.5823008849557523,1.5787099684258006,4.800206139797096
Samoa,2.79,32.1,0.787,1.89,2.364406779661017,3.177427554651754,1.392920353982301,2.1087054578258906,2.260865036530241
Yemen,3.84,47.0,1.21,1.91,3.2542372881355934,6.964921199796645,2.1415929203539825,2.1312584573748308,3.623002466415263
South Africa,3.57,163.0,2.22,8.36,3.0254237288135593,36.45144890696492,3.929203539823009,9.404600811907983,13.202669246877367
Zambia,0.38,101.0,0.435,1.12,0.3220338983050847,20.691408235892226,0.7699115044247787,1.2404149751917006,5.755942153453447
Zimbabwe,1.61,84.2,1.3,6.53,1.3644067796610169,16.420945602440263,2.3008849557522124,7.341001353179974,6.8568096727583665
