country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,90.5,,,,,,,,,94.7,
Israel,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,100,,,,,,,,100,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,107,
Jordan,,,,,88.6,,,,,,,,,,,,,,,,,,,,,,,,99.6,,100,,100,,,
Kazakhstan,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,102,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,86.8,,,,,,89.7,,,,95.7,,
Kuwait,85,,,,,93.5,,,,,92.7,,,,,,,,,,96.2,,,,,,,,,,100,100,100,100,,
Lao,,,,,,,,,,,,,,,,,,,,,81.3,,,,,83.5,90.4,,,,88.3,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,
Liberia,,,,,,,,,,53.7,,,,,,,,,,82.9,,,,,,,,,,107,,,,,115,
Libya,,,,,,,,,,82.1,,,,,,,,,,96.9,,,,,,,,,,99.6,,,,,99.9,
Sri Lanka,,,,,,,98.2,,,,,,,,,,,,,,,,,,,,101,,,,,101,,101,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,114,
Lithuania,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,,,,,,,,100,
Latvia,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,,,,,,,,100,
"Macao, China",,,,,,,99,,,,,,,,,,,,,,,,,,,,100,,,,,100,,,,
Morocco,,,,,,,,53.3,,,,,,,,,,,,64.4,,,,,,,,,,74.9,,,,81.5,83.2,
Moldova,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,,,,,,,,100,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,93.8,,,,,,,,97,,
Maldives,,,104,,,,,,,,101,,,,,100,,,,,100,,,,,100,,,,,,100,,,,
Mexico,,,,,,97.6,,,,,,,,,,98.9,,,,,,,,,,99.7,,99.3,,100,100,99.6,99.9,100,99.7,
North Macedonia,,,,,,,,,,,,,,,,,,,,99.4,,,,,,,,99.5,,,,,,,99.6,
Mali,,50.5,,,,,,,,,,,,,,,,,,,,,,52.3,,,,,48.6,,,65,,,,
Malta,,,,,,,,,,,102,,,,,,,,,,104,,,,,,,,,,102,,,,,
Myanmar,,,,,,,,,91.8,,,,,,,,,,,,,,,,,97.6,,,,,,,,,99.2,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,103,
Mozambique,,,,,,39.3,,,,,,,,,,,,,,,,,61.5,,,,,,67.3,,,,,,81.5,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,81.9,,,,,,,,,90.8,
Mauritius,,,,,,,,,,,,,,,,101,,,,,,,,,,102,,,,,,,,,102,
Malawi,,,,,,,,,,,,,69.7,,,,,,,,,,,86.1,,,,,,,,,,,99,
Malaysia,,,,,,96.7,,,,,,,,,,,99.3,,,,,,,,,100,,,,,,,,,100,
Namibia,,,,,,,,,,,,,,,,,106,,,,,,,,,,103,,,,,,,,104,
New Caledonia,,101,,,,,,,,,,,,,100,,,,,,,100,,,,,,,,,,,,,100,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,44.2,,,,,
Nigeria,,,,,,,,,,,,,,,,,76.8,,,,,,,,,,,,77.5,,,,,,83.6,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,104,,,,,
Nepal,,,,,,,33.2,,,,,,,,,,47.9,,,,,,,,,,74.6,,,,,,,,88.3,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,,,,,100,,
Pakistan,,,,,,,53.5,,,,,,,,,,,,,,,,,64.2,,,,,,,69.3,73.8,,77.1,,
Panama,,,,,,100,,,,,,,,,,99.3,,,,,,,,,,99.1,,,,,,,,,99.6,
Peru,,,,,,,93,,,,,,,,,,,,96.7,,,,,,,,,,,97.8,98.3,98.4,98.7,,,
Philippines,,,,,,102,,,,,,,,,,101,,,,,,,,,,101,,,103,,,,,102,,
Palau,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,92.7,,,,,,,,,109,
Poland,,,,100,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,100,
Puerto Rico,,,,,,102,,,,,,,,,,102,,,,,,,,,,,,,,100,,,,,101,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
Portugal,,,,,,,101,,,,,,,,,,100,,,,,,,,,,,,,,,,,,100,
Paraguay,,,,,,,,98.7,,,,,,,,,,99.5,,,,,,,,,,,,,,,100,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,99.8,,100,99.8,99.8,100,
Qatar,,,,,,,,,,,,103,,,,,,,,,,,102,,,,,,,103,,,99.9,102,100,
Romania,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,100,,,,,,,100,
Russia,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,100,
Rwanda,,,,74.9,,,,,,,,,,,,,100,,,,,,,,,97.9,,,,,,,,,101,
Saudi Arabia,,,,,,,,,,,,,,,,,,86.3,,,,,,,,95.5,,,,97.7,,,,,97.8,
Senegal,,,,,,,,,,,,,,57.1,,,,,,,,,,,,,,70,,,,76.6,,,75.7,
Singapore,,,,,,99.7,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,100,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,88.9,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,,,,,71,
El Salvador,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,101,101,101,101,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,
Sao Tome and Principe,,,,,,,81.5,,,,,,,,,,95.9,,,,,,,,,,98.8,,,,,,,,101,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,,,,100,,
Slovenia,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,100,
Eswatini,,98.5,,,,,,,,,,102,,,,,,,,,,,,,,103,,,,,,,,,103,
Seychelles,,,,,,,,,,,,,102,,,,,,,101,,,,,,,,101,,,,,,101,,
Syria,,,,,,,66.4,,,,,,,,,,,,,,,,,,,,,95.7,,95.4,,,,,97.1,
Chad,,,,,,,,,,,,,,,,,,,34.1,,,,,,,41.7,,,,57.3,,,,,72.8,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,80,,,,
Thailand,,,,,,98.6,,,,,,,,,,,,,,,,,,,,99.7,,,,,99.7,,,,,
Tajikistan,,,,,,,,,,,,,,,99.9,,,,,,,,,,,100,,,,,,,,,100,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,100,
Tonga,,100,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,
Trinidad and Tobago,,,,,,100,,,,,,,,,,100,,,,,,,,,,,,,,100,,,,,100,
Tunisia,,,,,,,,,,72.9,,,,,,,,,,,,,,,,,,,,95.7,,,,97.6,,
Turkey,75.2,,,,,80.4,,,,,89.8,,,,,91.5,,,,,,,,,,,,,,95.2,95.5,95.7,95.6,,97.5,
Tanzania,,,,,,,,,,,,,,90.3,,,,,,,,,,,,,,94.2,,,,,,,97.3,
Uganda,,,,,,,,,,,,,,,,,81.7,,,,,,,,,,,88.6,,,,,,,,95.3
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,100,
Uruguay,101,,,,,,,,,,101,,,,,,,,,,,101,,,,,,,,,,101,101,101,102,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,100,
Venezuela,,,,,,,102,,,,,,,,,102,,,,,,,,,,,102,,,,,,101,,,
Vietnam,,,,,97.8,,,,,,,,,,99.3,,,,,,,,,,99.4,98.4,,,,,,,,,99.1,
Vanuatu,,,,,89.3,,,,,,,,,,,,,,,97.5,,,,,,,,,,99.7,,,,,100,
Samoa,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,,100,,,,,100,
Yemen,,,,,,,,,,,,,,,,,,,,42.7,,,,,,,,,,65.3,,,,,75.5,
South Africa,,,,,,99.6,,,,,,,,,,,,,,,,101,,,,,,,,,,,101,,,
Zambia,,,,,,,,,,,,,,,,97.4,,,,,,,,,91.2,,,85.3,,,,,,,82.3,
Zimbabwe,,,,,,,,90.4,,,,,,,,,,97.7,,,,,,,,,,,,,,,,,101,
