country,edu_adulit_2011,edu_prim_2020,edu_femalit_2009,edu_exp_2015,edu_adulit_2011_n,edu_prim_2020_n,edu_femalit_2009_n,edu_exp_2015_n
Oman,,92.1,,,,67.24137931034481,,
Pakistan,,,,8.1,,,,10.462776659959758
Panama,,87.0,99.6,,,59.24764890282131,67.98336798336797,
Peru,,,,12.6,,,,21.780684104627763
Philippines,,98.1,,,,76.64576802507835,,
Poland,99.7,,100.0,23.8,99.84939759036145,,68.81496881496881,49.9496981891348
Puerto Rico,90.3,,101.0,,85.69277108433734,,70.89397089397089,
Portugal,95.4,103.0,100.0,22.5,93.37349397590361,84.32601880877743,68.81496881496881,46.680080482897374
Paraguay,,83.0,,,,52.97805642633228,,
Qatar,,103.0,100.0,,,84.32601880877743,68.81496881496881,
Romania,97.7,86.4,100.0,8.65,96.83734939759037,58.30721003134797,68.81496881496881,11.846076458752517
Rwanda,,,101.0,5.54,,,70.89397089397089,4.0241448692152915
Saudi Arabia,87.2,,97.8,,81.02409638554217,,64.24116424116423,
Senegal,,61.5,75.7,13.7,,19.27899686520376,18.29521829521829,24.547283702213278
Singapore,,101.0,100.0,,,81.19122257053291,68.81496881496881,
Sierra Leone,43.3,85.3,71.0,,14.909638554216864,56.58307210031347,8.523908523908514,
El Salvador,,,101.0,13.6,,,70.89397089397089,24.29577464788732
Serbia,98.0,98.2,,43.7,97.289156626506,76.8025078369906,,100.0
Sao Tome and Principe,,,101.0,,,,70.89397089397089,
Slovenia,99.7,96.8,100.0,24.6,99.84939759036145,74.60815047021943,68.81496881496881,51.961770623742446
Eswatini,87.8,,103.0,,81.92771084337349,,75.05197505197505,
Seychelles,91.8,97.9,,,87.95180722891565,76.33228840125392,,
Syria,84.1,55.7,97.1,,76.35542168674698,10.18808777429467,62.785862785862776,
Chad,35.4,,72.8,,3.012048192771084,,12.266112266112248,
Togo,60.4,87.5,,16.1,40.662650602409634,60.03134796238244,,30.58350100603622
Thailand,,99.4,,,,78.68338557993731,,
Tonga,,113.0,,,,100.0,,
Trinidad and Tobago,98.8,,100.0,,98.49397590361447,,68.81496881496881,
Tunisia,,97.7,,,,76.01880877742947,,
Turkey,94.1,101.0,97.5,14.4,91.4156626506024,81.19122257053291,63.61746361746361,26.307847082494966
Tanzania,,67.1,97.3,,,28.05642633228839,63.20166320166319,
Uganda,,,,,,,,
Ukraine,99.7,89.8,100.0,,99.84939759036145,63.63636363636363,68.81496881496881,
Uruguay,,101.0,102.0,,,81.19122257053291,72.97297297297297,
Venezuela,,,,17.9,,,,35.110663983903414
Vietnam,93.4,,99.1,,90.36144578313254,,66.94386694386694,
Vanuatu,83.2,96.7,100.0,13.5,75.0,74.45141065830721,68.81496881496881,24.044265593561367
Samoa,98.8,102.0,100.0,,98.49397590361447,82.75862068965517,68.81496881496881,
Yemen,65.3,,75.5,,48.04216867469879,,17.87941787941787,
South Africa,93.0,95.5,,,89.7590361445783,72.5705329153605,,
Zambia,,,82.3,14.3,,,32.016632016632,26.056338028169016
Zimbabwe,83.6,91.9,101.0,,75.6024096385542,66.92789968652038,70.89397089397089,
