,country,gov_dem_2011,gov_cli_2022,gov_pri_2022,gov_cpi_2017,gov_dem_2011_n,gov_cli_2022_n,gov_pri_2022_n,gov_cpi_2017_n,gov_s
62,Honduras,7.0,4,4,29.0,85.0,50.0,50.0,25.0,52.5
63,Croatia,9.0,2,2,49.0,95.0,83.33333333333333,83.33333333333333,50.0,77.91666666666666
64,Haiti,0.0,5,6,22.0,50.0,33.33333333333333,16.66666666666667,16.25,29.0625
65,Hungary,10.0,3,3,45.0,100.0,66.66666666666666,66.66666666666666,45.0,69.58333333333333
66,Indonesia,8.0,4,2,37.0,90.0,50.0,83.33333333333333,35.0,64.58333333333333
67,India,9.0,4,2,40.0,95.0,50.0,83.33333333333333,38.75,66.77083333333333
68,Ireland,10.0,1,1,74.0,100.0,100.0,100.0,81.25,95.3125
69,Iran,-7.0,6,7,30.0,15.0,16.66666666666667,0.0,26.25,14.479166666666668
70,Iraq,3.0,6,5,18.0,65.0,16.66666666666667,33.33333333333333,11.25,31.5625
71,Israel,10.0,3,2,62.0,100.0,66.66666666666666,83.33333333333333,66.25,79.0625
72,Italy,10.0,1,1,50.0,100.0,100.0,100.0,51.25,87.8125
73,Jamaica,9.0,2,2,44.0,95.0,83.33333333333333,83.33333333333333,43.75,76.35416666666666
74,Jordan,-3.0,5,6,48.0,35.0,33.33333333333333,16.66666666666667,48.75,33.4375
75,Japan,10.0,1,1,73.0,100.0,100.0,100.0,80.0,95.0
76,Kazakhstan,-6.0,5,7,31.0,20.0,33.33333333333333,0.0,27.5,20.208333333333332
77,Kenya,8.0,4,4,28.0,90.0,50.0,50.0,23.75,53.4375
78,Kyrgyz Republic,7.0,5,7,29.0,85.0,33.33333333333333,0.0,25.0,35.83333333333333
79,Cambodia,2.0,5,7,21.0,60.0,33.33333333333333,0.0,15.0,27.083333333333332
80,South Korea,8.0,2,2,54.0,90.0,83.33333333333333,83.33333333333333,56.25,78.22916666666666
81,Kuwait,-7.0,5,5,39.0,15.0,33.33333333333333,33.33333333333333,37.5,29.791666666666664
82,Lao,-7.0,6,7,29.0,15.0,16.66666666666667,0.0,25.0,14.166666666666668
83,Lebanon,7.0,4,5,28.0,85.0,50.0,33.33333333333333,23.75,48.02083333333333
84,Liberia,6.0,4,3,31.0,80.0,50.0,66.66666666666666,27.5,56.041666666666664
85,Libya,0.0,6,7,17.0,50.0,16.66666666666667,0.0,10.0,19.166666666666668
86,Sri Lanka,4.0,4,4,38.0,70.0,50.0,50.0,36.25,51.5625
87,Lesotho,8.0,3,2,42.0,90.0,66.66666666666666,83.33333333333333,41.25,70.3125
88,Lithuania,10.0,2,1,59.0,100.0,83.33333333333333,100.0,62.5,86.45833333333333
89,Latvia,8.0,2,1,58.0,90.0,83.33333333333333,100.0,61.25,83.64583333333333
90,Morocco,-4.0,5,5,40.0,30.0,33.33333333333333,33.33333333333333,38.75,33.854166666666664
91,Moldova,8.0,3,3,31.0,90.0,66.66666666666666,66.66666666666666,27.5,62.70833333333333
92,Madagascar,0.0,4,3,24.0,50.0,50.0,66.66666666666666,18.75,46.354166666666664
93,Mexico,8.0,4,3,29.0,90.0,50.0,66.66666666666666,25.0,57.916666666666664
94,North Macedonia,9.0,3,3,35.0,95.0,66.66666666666666,66.66666666666666,32.5,65.20833333333333
95,Mali,7.0,5,6,31.0,85.0,33.33333333333333,16.66666666666667,27.5,40.625
96,Myanmar,-3.0,6,7,30.0,35.0,16.66666666666667,0.0,26.25,19.479166666666668
97,Montenegro,9.0,3,3,46.0,95.0,66.66666666666666,66.66666666666666,46.25,68.64583333333333
98,Mongolia,10.0,2,1,36.0,100.0,83.33333333333333,100.0,33.75,79.27083333333333
99,Mozambique,5.0,4,5,25.0,75.0,50.0,33.33333333333333,20.0,44.58333333333333
100,Mauritania,-2.0,5,5,28.0,40.0,33.33333333333333,33.33333333333333,23.75,32.604166666666664
101,Mauritius,10.0,2,2,50.0,100.0,83.33333333333333,83.33333333333333,51.25,79.47916666666666
102,Malawi,6.0,3,3,31.0,80.0,66.66666666666666,66.66666666666666,27.5,60.20833333333333
103,Malaysia,6.0,4,4,47.0,80.0,50.0,50.0,47.5,56.875
104,Namibia,6.0,2,2,51.0,80.0,83.33333333333333,83.33333333333333,52.5,74.79166666666666
105,Niger,6.0,4,4,33.0,80.0,50.0,50.0,30.0,52.5
106,Nigeria,4.0,5,4,27.0,70.0,33.33333333333333,50.0,22.5,43.95833333333333
107,Nicaragua,9.0,6,7,26.0,95.0,16.66666666666667,0.0,21.25,33.22916666666667
108,Netherlands,10.0,1,1,82.0,100.0,100.0,100.0,91.25,97.8125
109,Norway,10.0,1,1,85.0,100.0,100.0,100.0,95.0,98.75
110,Nepal,6.0,4,3,31.0,80.0,50.0,66.66666666666666,27.5,56.041666666666664
111,New Zealand,10.0,1,1,89.0,100.0,100.0,100.0,100.0,100.0
112,Oman,-8.0,5,6,44.0,10.0,33.33333333333333,16.66666666666667,43.75,25.9375
113,Pakistan,6.0,5,5,32.0,80.0,33.33333333333333,33.33333333333333,28.75,43.854166666666664
114,Panama,9.0,2,2,37.0,95.0,83.33333333333333,83.33333333333333,35.0,74.16666666666666
115,Peru,9.0,3,3,37.0,95.0,66.66666666666666,66.66666666666666,35.0,65.83333333333333
116,Philippines,8.0,4,3,34.0,90.0,50.0,66.66666666666666,31.25,59.479166666666664
117,Papua New Guinea,4.0,3,4,29.0,70.0,66.66666666666666,50.0,25.0,52.916666666666664
118,Poland,10.0,2,2,60.0,100.0,83.33333333333333,83.33333333333333,63.75,82.60416666666666
119,North Korea,-10.0,7,7,17.0,0.0,0.0,0.0,10.0,2.5
120,Portugal,10.0,1,1,63.0,100.0,100.0,100.0,67.5,91.875
121,Paraguay,8.0,3,3,29.0,90.0,66.66666666666666,66.66666666666666,25.0,62.08333333333333
122,Qatar,-10.0,5,6,63.0,0.0,33.33333333333333,16.66666666666667,67.5,29.375
