,Unnamed: 0,country,energy_use_2014,energy_import_2014,energy_alternative_2014,energy_renewable_2020,energy_use_2014_n,energy_import_2014_n,energy_alternative_2014_n,energy_renewable_2020_n
0,0,Angola,541.0,-541.0,2.55,61.0,2.652553239634928,55.258620689655174,5.141129032258064,63.40956340956341
1,1,Albania,808.0,13.8,24.5,44.6,3.995172604530712,7.431034482758619,49.39516129032258,46.36174636174636
2,2,UAE,7980.0,-184.0,0.0969,0.92,40.059839589671384,24.48275862068965,0.19536290322580643,0.9563409563409563
3,3,Argentina,2030.0,13.0,5.5,9.84,10.14004475397883,7.5,11.088709677419354,10.228690228690228
4,4,Armenia,1020.0,71.3,25.7,8.38,5.061222437331859,2.474137931034477,51.814516129032256,8.711018711018712
5,5,Australia,5330.0,-192.0,2.37,10.9,26.734216679657052,25.172413793103445,4.778225806451613,11.33056133056133
6,6,Austria,3760.0,62.4,13.2,35.8,18.83941367259196,3.2413793103448114,26.612903225806452,37.21413721413721
7,7,Azerbaijan,1500.0,-310.0,0.572,1.23,7.474920171975963,35.34482758620689,1.1532258064516128,1.2785862785862785
8,8,Belgium,4710.0,76.3,18.6,12.3,23.616523772408417,2.0431034482758577,37.5,12.785862785862786
9,9,Benin,404.0,46.6,0.0,46.2,1.963643677871923,4.603448275862078,0.0,48.024948024948024
10,10,Bangladesh,227.0,16.8,0.153,28.0,1.0735926382219094,7.172413793103445,0.3084677419354838,29.106029106029105
11,11,Bulgaria,2480.0,36.6,25.8,21.1,12.40288638020768,5.465517241379317,52.016129032258064,21.93347193347193
12,12,Bahrain,10800.0,-61.6,0.0,0.0,54.240313780705506,13.93103448275862,0.0,0.0
13,13,Bosnia and Herzegovina,2190.0,22.7,4.27,37.7,10.944610665526865,6.6637931034482705,8.608870967741934,39.18918918918919
14,14,Belarus,2940.0,86.8,0.0539,8.39,14.716013375908279,1.1379310344827616,0.10866935483870968,8.721413721413722
15,15,Bolivia,763.0,-178.0,1.97,16.9,3.768888441907827,23.965517241379317,3.971774193548387,17.567567567567565
16,16,Brazil,1490.0,11.9,10.8,50.0,7.424634802504212,7.59482758620689,21.774193548387096,51.975051975051976
17,17,Brunei,8530.0,-357.0,0.00484,0.01,42.825534910617755,39.39655172413793,0.009758064516129032,0.010395010395010394
18,18,Botswana,1200.0,44.5,0.00317,27.2,5.966359087823398,4.784482758620683,0.006391129032258064,28.274428274428274
19,19,Canada,7900.0,-67.9,19.7,23.9,39.657556633897364,14.474137931034477,39.71774193548387,24.844074844074843
20,20,Switzerland,3060.0,47.1,42.4,26.4,15.319437809569306,4.560344827586221,85.48387096774194,27.442827442827443
21,21,Chile,2040.0,64.2,5.65,26.7,10.190330123450583,3.0862068965517295,11.391129032258064,27.754677754677754
22,22,China,2220.0,15.0,5.11,14.8,11.095466773942121,7.327586206896555,10.30241935483871,15.384615384615385
23,23,Cote d'Ivoire,603.0,7.08,0.795,63.3,2.9643225303597918,8.01034482758621,1.6028225806451613,65.80041580041579
24,24,Cameroon,341.0,-28.3,4.6,78.9,1.6468458501998844,11.060344827586206,9.274193548387096,82.01663201663203
25,25,"Congo, Dem. Rep.",378.0,1.96,2.36,96.2,1.8329017172453674,8.451724137931038,4.758064516129032,100.0
26,26,"Congo, Rep.",531.0,-497.0,1.43,71.9,2.602267870163176,51.46551724137931,2.883064516129032,74.74012474012474
27,27,Colombia,729.0,-274.0,9.2,31.3,3.5979181857038696,32.241379310344826,18.548387096774192,32.53638253638253
28,28,Costa Rica,1010.0,49.8,14.2,36.4,5.010937067860106,4.327586206896555,28.629032258064516,37.83783783783784
29,29,Cuba,1030.0,49.8,0.0854,23.9,5.11150780680361,4.327586206896555,0.1721774193548387,24.844074844074843
30,30,Cyprus,1680.0,94.0,5.23,15.0,8.380056822467504,0.5172413793103487,10.544354838709678,15.592515592515593
31,31,Czech Republic,3920.0,29.0,20.8,17.0,19.643979584139995,6.120689655172413,41.935483870967744,17.67151767151767
32,32,Germany,3780.0,60.9,13.0,18.6,18.939984411535463,3.3706896551723986,26.209677419354836,19.33471933471934
33,33,Denmark,2870.0,0.944,9.89,39.7,14.364015789606015,8.539310344827598,19.939516129032256,41.26819126819127
34,34,Dominican Republic,743.0,86.7,2.34,16.7,3.6683177029643224,1.146551724137936,4.717741935483871,17.35966735966736
35,35,Algeria,1330.0,-177.0,0.0301,0.15,6.620068890956176,23.879310344827587,0.060685483870967734,0.15592515592515593
36,36,Ecuador,889.0,-115.0,6.21,20.1,4.402484097251905,18.534482758620683,12.52016129032258,20.893970893970895
37,37,Egypt,783.0,-7.39,1.5,6.51,3.8694591808513312,9.257758620689671,3.0241935483870965,6.767151767151767
38,38,Eritrea,245.0,22.3,0.0211,80.9,1.1641063032710632,6.698275862068968,0.042540322580645155,84.0956340956341
39,39,Spain,2460.0,69.4,21.6,19.4,12.302315641264174,2.6379310344827474,43.54838709677419,20.166320166320162
40,40,Estonia,4590.0,3.4,0.618,40.0,23.01309933874739,8.327586206896541,1.2459677419354838,41.58004158004158
41,41,Ethiopia,485.0,5.93,1.18,89.5,2.370955170593116,8.109482758620686,2.379032258064516,93.03534303534303
42,42,Finland,6210.0,46.2,23.2,47.5,31.159329193171246,4.637931034482762,46.774193548387096,49.37629937629937
43,43,France,3660.0,43.5,49.6,16.9,18.336559977874437,4.870689655172413,100.0,17.567567567567565
44,44,Gabon,2580.0,-213.0,1.21,90.1,12.9057400749252,26.98275862068965,2.439516129032258,93.65904365904366
