,country,gov_dem_2011,gov_cli_2022,gov_pri_2022,gov_cpi_2017,gov_dem_2011_n,gov_cli_2022_n,gov_pri_2022_n,gov_cpi_2017_n
78,Kyrgyz Republic,7.0,5,7,29.0,85.0,33.33333333333333,0.0,25.0
79,Cambodia,2.0,5,7,21.0,60.0,33.33333333333333,0.0,15.0
80,South Korea,8.0,2,2,54.0,90.0,83.33333333333333,83.33333333333333,56.25
81,Kuwait,-7.0,5,5,39.0,15.0,33.33333333333333,33.33333333333333,37.5
82,Lao,-7.0,6,7,29.0,15.0,16.66666666666667,0.0,25.0
83,Lebanon,7.0,4,5,28.0,85.0,50.0,33.33333333333333,23.75
84,Liberia,6.0,4,3,31.0,80.0,50.0,66.66666666666666,27.5
85,Libya,0.0,6,7,17.0,50.0,16.66666666666667,0.0,10.0
86,Sri Lanka,4.0,4,4,38.0,70.0,50.0,50.0,36.25
87,Lesotho,8.0,3,2,42.0,90.0,66.66666666666666,83.33333333333333,41.25
88,Lithuania,10.0,2,1,59.0,100.0,83.33333333333333,100.0,62.5
89,Latvia,8.0,2,1,58.0,90.0,83.33333333333333,100.0,61.25
90,Morocco,-4.0,5,5,40.0,30.0,33.33333333333333,33.33333333333333,38.75
91,Moldova,8.0,3,3,31.0,90.0,66.66666666666666,66.66666666666666,27.5
92,Madagascar,0.0,4,3,24.0,50.0,50.0,66.66666666666666,18.75
93,Mexico,8.0,4,3,29.0,90.0,50.0,66.66666666666666,25.0
94,North Macedonia,9.0,3,3,35.0,95.0,66.66666666666666,66.66666666666666,32.5
95,Mali,7.0,5,6,31.0,85.0,33.33333333333333,16.66666666666667,27.5
96,Myanmar,-3.0,6,7,30.0,35.0,16.66666666666667,0.0,26.25
97,Montenegro,9.0,3,3,46.0,95.0,66.66666666666666,66.66666666666666,46.25
98,Mongolia,10.0,2,1,36.0,100.0,83.33333333333333,100.0,33.75
99,Mozambique,5.0,4,5,25.0,75.0,50.0,33.33333333333333,20.0
100,Mauritania,-2.0,5,5,28.0,40.0,33.33333333333333,33.33333333333333,23.75
101,Mauritius,10.0,2,2,50.0,100.0,83.33333333333333,83.33333333333333,51.25
102,Malawi,6.0,3,3,31.0,80.0,66.66666666666666,66.66666666666666,27.5
103,Malaysia,6.0,4,4,47.0,80.0,50.0,50.0,47.5
104,Namibia,6.0,2,2,51.0,80.0,83.33333333333333,83.33333333333333,52.5
105,Niger,6.0,4,4,33.0,80.0,50.0,50.0,30.0
106,Nigeria,4.0,5,4,27.0,70.0,33.33333333333333,50.0,22.5
107,Nicaragua,9.0,6,7,26.0,95.0,16.66666666666667,0.0,21.25
108,Netherlands,10.0,1,1,82.0,100.0,100.0,100.0,91.25
109,Norway,10.0,1,1,85.0,100.0,100.0,100.0,95.0
110,Nepal,6.0,4,3,31.0,80.0,50.0,66.66666666666666,27.5
111,New Zealand,10.0,1,1,89.0,100.0,100.0,100.0,100.0
112,Oman,-8.0,5,6,44.0,10.0,33.33333333333333,16.66666666666667,43.75
113,Pakistan,6.0,5,5,32.0,80.0,33.33333333333333,33.33333333333333,28.75
114,Panama,9.0,2,2,37.0,95.0,83.33333333333333,83.33333333333333,35.0
115,Peru,9.0,3,3,37.0,95.0,66.66666666666666,66.66666666666666,35.0
116,Philippines,8.0,4,3,34.0,90.0,50.0,66.66666666666666,31.25
117,Papua New Guinea,4.0,3,4,29.0,70.0,66.66666666666666,50.0,25.0
118,Poland,10.0,2,2,60.0,100.0,83.33333333333333,83.33333333333333,63.75
119,North Korea,-10.0,7,7,17.0,0.0,0.0,0.0,10.0
120,Portugal,10.0,1,1,63.0,100.0,100.0,100.0,67.5
121,Paraguay,8.0,3,3,29.0,90.0,66.66666666666666,66.66666666666666,25.0
122,Qatar,-10.0,5,6,63.0,0.0,33.33333333333333,16.66666666666667,67.5
