country,env_foot_2022,env_co2_2022,env_water_2020,env_sdi_2019,env_foot_2022_n,env_co2_2022_n,env_water_2020_n,env_sdi_2019_n
Afghanistan,1.38,0.284,54.8,55.1,98.93230083304,99.05404414460658,98.57732493992295,60.98191214470285
Angola,2.18,1.23,1.87,62.6,97.9936642027455,95.5855393414974,99.95213991912566,70.671834625323
Albania,13.0,2.1,4.72,82.6,85.29860377801243,92.39568820121727,99.87811341826173,96.51162790697674
UAE,69.0,21.1,1590.0,11.0,19.59403965739763,22.732272493950276,58.701716474553606,4.0051679586563305
Argentina,15.8,3.85,10.5,77.7,82.0133755719817,85.97932096502163,99.72798247966752,90.18087855297159
Armenia,5.95,2.7,57.1,82.7,93.57033908248269,90.19579086309305,98.51758425501522,96.64082687338502
Australia,46.8,13.9,3.47,15.0,45.641206148069934,49.13104055144093,99.91058118179853,9.173126614987082
Austria,24.6,9.2,9.64,25.2,71.68837263874222,66.36356970008066,99.75032030098085,22.35142118863049
Azerbaijan,10.6,3.84,55.6,79.6,88.11451366889594,86.01598592065704,98.55654557125939,92.63565891472868
Burundi,1.71,0.051,10.2,46.7,98.54511322304353,99.90833761091149,99.73577474291635,50.12919896640828
Belgium,33.5,16.9,51.6,42.9,61.24604012671595,38.131553860819835,98.66044241457719,45.219638242894064
Benin,3.4,0.71,0.975,58.7,96.5622433415464,97.49211703453838,99.97538683781802,65.63307493540053
Burkina Faso,2.96,0.306,7.82,48.7,97.07849348820838,98.9733812422087,99.79759336469044,52.71317829457365
Bangladesh,2.88,0.844,5.72,68.1,97.17235715123783,97.00080662902398,99.85213920743229,77.77777777777779
Bulgaria,15.0,5.82,37.5,74.4,82.9520122022762,78.7563247048471,99.0266787872724,85.91731266149871
Bahrain,23.8,16.0,134.0,48.8,72.62700926903673,41.43139986800616,96.52016744223063,52.84237726098192
Bosnia and Herzegovina,14.4,6.45,2.0,71.5,83.65598967499707,76.44643249981667,99.94876327171782,82.17054263565892
Belize,12.2,1.52,1.26,75.3,86.23724040830693,94.5222556280707,99.96798418773162,87.08010335917312
Bolivia,11.3,1.99,1.18,77.3,87.29320661738825,92.79900271320672,99.97006212459797,89.66408268733849
Brazil,18.9,2.11,1.48,75.4,78.37615862959052,92.35902324558187,99.96226986134914,87.2093023255814
Brunei,85.7,24.5,3.47,33.8,0.0,10.26618757791303,99.91058118179853,33.4625322997416
Bhutan,32.4,1.8,1.41,68.3,62.53666549337088,93.49563687027938,99.9640880561072,78.03617571059432
Botswana,14.2,5.1,2.31,33.5,83.89064883257069,81.39620151059617,99.9407112663607,33.0749354005168
Central African Republic,1.57,0.071,0.336,42.8,98.70937463334506,99.83500769964068,99.99198435853803,45.090439276485796
Canada,35.0,13.2,3.73,19.1,59.48609644491376,51.6975874459192,99.90382788698288,14.4702842377261
Switzerland,31.1,11.6,6.5,25.7,64.06195001759943,57.56398034758378,99.83187932298532,22.997416020671835
Chile,13.5,4.54,8.98,73.7,84.71195588407838,83.44943902617878,99.76746328012828,85.01291989664084
China,22.0,7.38,41.5,51.7,74.73894168719934,73.03659162572413,98.92278194395462,56.589147286821714
Cote d'Ivoire,3.26,0.596,5.09,58.0,96.72650475184794,97.91009752878199,99.86850296025483,64.72868217054264
Cameroon,2.13,0.408,1.56,60.7,98.05232899213892,98.59939869472758,99.96019192448279,68.2170542635659
"Congo, Dem. Rep.",2.75,0.026,0.227,51.7,97.32488560366069,100.0,99.99481554751844,56.589147286821714
"Congo, Rep.",1.88,0.674,0.0274,61.8,98.34565293910595,97.62411087482585,100.0,69.63824289405686
Colombia,9.09,2.39,4.36,80.1,89.8861903085768,91.33240448779057,99.88746413416033,93.28165374677002
Costa Rica,14.4,2.38,5.35,85.3,83.65598967499707,91.36906944342597,99.86174966543918,100.0
Cuba,9.19,2.55,23.9,81.4,89.76886072978998,90.74576519762411,99.3799280545529,94.96124031007753
Cyprus,36.6,5.62,37.6,33.8,57.60882318432476,79.48962381755518,99.02408136618946,33.4625322997416
