country,infra_vehicles_2007,infra_elec_2021,infra_sanit_2016,infra_water_2016,infra_vehicles_2007_n,infra_elec_2021_n,infra_sanit_2016_n,infra_water_2016_n
Qatar,724.0,100.0,99.9,100.0,59.82491599191539,100.0,99.89161066551053,100.0
Romania,,100.0,84.0,100.0,,100.0,82.65770648168221,100.0
Russia,245.0,100.0,88.0,96.5,20.228485457198243,100.0,86.99327986126166,94.5141065830721
Rwanda,3.88,48.7,67.2,59.4,0.29635324314605627,44.39024390243903,64.44829828744851,36.36363636363636
Sudan,28.0,61.8,36.5,58.2,2.2902277828065523,58.59078590785908,31.172772599176238,34.48275862068966
Senegal,20.4,68.0,53.9,79.1,1.6619754402932945,65.31165311653116,50.03251680034684,67.24137931034481
Singapore,149.0,100.0,100.0,100.0,12.292666393872889,100.0,100.0,100.0
Sierra Leone,5.21,27.5,17.5,58.5,0.4062974030858763,21.40921409214092,10.578799046173856,34.952978056426325
El Salvador,83.7,97.9,85.9,96.2,6.894656135173451,97.72357723577235,84.71710383698245,94.04388714733543
Serbia,223.0,100.0,97.5,93.8,18.40986025518618,100.0,97.29026663776284,90.282131661442
Sao Tome and Principe,2.16,78.5,41.1,76.4,0.154169818261477,76.69376693766938,36.1586819856926,63.00940438871474
Suriname,,98.8,87.2,96.2,,98.69918699186992,86.12616518534577,94.04388714733543
Slovak Republic,282.0,100.0,97.5,99.8,23.28708238785489,100.0,97.29026663776284,99.68652037617554
Slovenia,547.0,100.0,98.6,99.5,45.193249593909265,100.0,98.48254931714719,99.21630094043887
Sweden,523.0,100.0,98.9,99.7,43.20929482807793,100.0,98.80771732061567,99.52978056426333
Eswatini,89.0,82.9,61.8,67.4,7.3327794792945395,81.46341463414635,58.59527422501625,48.90282131661443
Seychelles,173.0,100.0,99.2,95.9,14.276621159704225,100.0,99.1328853240841,93.57366771159874
Syria,51.5,88.8,92.9,93.5,4.232850157683072,87.85907859078591,92.30435725124649,89.81191222570533
Chad,,11.3,11.6,48.4,,3.8482384823848244,4.183828311294167,19.12225705329153
Togo,1.98,55.7,16.6,64.5,0.13929015751774193,51.97831978319783,9.60329503576848,44.35736677115987
Tajikistan,38.2,99.6,95.7,77.6,3.1334085582848714,99.56639566395664,95.33925861695208,64.89028213166144
Turkmenistan,106.0,100.0,97.8,98.3,8.738080771758405,100.0,97.6154346412313,97.33542319749215
Trinidad and Tobago,351.0,100.0,93.7,98.5,28.99095233961999,100.0,93.17147192716236,97.64890282131663
Tunisia,103.0,99.9,93.2,94.7,8.490086426029487,99.89159891598916,92.62952525471493,91.69278996865204
Turkey,131.0,100.0,97.0,96.4,10.804700319499384,100.0,96.7483199653154,94.35736677115987
Tanzania,11.7,42.7,25.6,52.3,0.9427918376794343,37.88617886178862,19.35833513982224,25.235109717868333
Uganda,6.5,45.2,19.8,49.5,0.5129349717493108,40.59620596205963,13.071753739432038,20.846394984326015
Ukraine,140.0,100.0,97.4,93.4,11.548683356686137,100.0,97.18187730327337,89.65517241379311
Uruguay,,100.0,96.9,99.3,,100.0,96.63993063082594,98.9028213166144
USA,820.0,100.0,99.7,99.5,67.76073505524074,100.0,99.67483199653154,99.21630094043887
St. Vincent and the Grenadines,204.0,100.0,89.6,97.7,16.83922939890304,100.0,88.72750921309343,96.39498432601881
Venezuela,147.0,100.0,95.1,94.4,12.12733683005361,100.0,94.68892261001517,91.22257053291537
Vietnam,13.5,100.0,81.0,93.4,1.0915884451167848,100.0,79.40602644699761,89.65517241379311
Samoa,,98.3,95.8,93.3,,98.15718157181571,95.44764795144157,89.49843260188086
Yemen,34.8,74.9,52.1,56.8,2.852348299792098,72.79132791327915,48.081508779536094,32.28840125391849
South Africa,159.0,89.3,73.1,92.2,13.11931421296928,88.40108401084011,70.8432690223282,87.7742946708464
Zambia,17.7,46.7,33.2,63.9,1.4387805291372688,42.22222222222223,27.595924561023192,43.41692789968651
Zimbabwe,106.0,49.0,37.5,64.5,8.738080771758405,44.71544715447155,32.2566659440711,44.35736677115987
Aruba,,100.0,98.6,97.9,,100.0,98.48254931714719,96.70846394984326
Andorra,,100.0,100.0,100.0,,100.0,100.0,100.0
Antigua and Barbuda,,100.0,97.4,98.4,,100.0,97.18187730327337,97.4921630094044
Bermuda,,100.0,99.9,99.9,,100.0,99.89161066551053,99.84326018808778
Channel Islands,,100.0,,,,100.0,,
Cote d'Ivoire,,71.1,32.3,72.3,,68.6720867208672,26.620420550617812,56.58307210031347
Cameroon,,65.4,41.7,66.5,,62.49322493224933,36.80901799262952,47.492163009404386
Cayman Islands,,100.0,83.4,95.7,,100.0,82.00737047474529,93.2601880877743
Djibouti,,65.4,62.7,75.8,,62.49322493224933,59.57077823542163,62.068965517241374
Dominica,,100.0,80.4,95.4,,100.0,78.7556904400607,92.78996865203762
Egypt,,100.0,96.2,98.7,,100.0,95.88120528939952,97.96238244514107
Faeroe Islands,,100.0,,100.0,,100.0,,100.0
Gabon,,91.8,48.9,84.9,,91.11111111111111,44.61305007587253,76.33228840125392
Isle of Man,,100.0,100.0,99.1,,100.0,100.0,98.58934169278996
Gibraltar,,100.0,100.0,100.0,,100.0,100.0,100.0
Guinea,,46.8,24.1,64.0,,42.33062330623306,17.732495122479946,43.57366771159874
Equatorial Guinea,,66.8,66.2,64.4,,64.01084010840108,63.36440494255365,44.20062695924766
Grenada,,93.7,91.5,95.6,,93.17073170731707,90.78690656839366,93.10344827586206
Greenland,,100.0,62.5,100.0,,100.0,59.35399956644266,100.0
Guam,,100.0,90.0,99.7,,100.0,89.16106655105138,99.52978056426333
Haiti,,47.2,33.6,65.0,,42.76422764227643,28.02948189898114,45.141065830721
Iraq,,100.0,93.6,95.1,,100.0,93.06308259267287,92.31974921630093
Cambodia,,82.5,57.2,72.4,,81.02981029810299,53.609364838499886,56.73981191222572
St. Kitts and Nevis,,100.0,95.0,98.6,,100.0,94.58053327552568,97.80564263322883
Kosovo,,,,,,,,
Lebanon,,100.0,95.3,91.5,,100.0,94.90570127899414,86.67711598746082
St. Lucia,,100.0,83.1,96.0,,100.0,81.68220247127682,93.73040752351098
Liechtenstein,,100.0,100.0,100.0,,100.0,100.0,100.0
Lesotho,,50.4,42.6,71.7,,46.233062330623305,37.7845220030349,55.642633228840126
St. Martin (French part),,100.0,99.8,100.0,,100.0,99.78322133102102,100.0
Madagascar,,35.1,11.6,48.9,,29.647696476964768,4.183828311294167,19.905956112852657
Marshall Islands,,99.8,82.8,86.4,,99.78319783197831,81.35703446780836,78.68338557993731
Montenegro,,99.8,96.1,97.6,,99.78319783197831,95.77281595491003,96.23824451410657
Northern Mariana Islands,,100.0,79.0,100.0,,100.0,77.2382397572079,100.0
Mauritania,,47.7,43.6,67.3,,43.30623306233063,38.86841534792976,48.74608150470219
New Caledonia,,100.0,100.0,98.4,,100.0,100.0,97.4921630094044
Curaçao,,100.0,99.0,99.5,,100.0,98.91610665510514,99.21630094043887
Nauru,,100.0,65.9,97.0,,100.0,63.03923693908519,95.29780564263324
Palau,,100.0,97.5,99.5,,100.0,97.29026663776284,99.21630094043887
North Korea,,52.6,82.4,94.9,,48.61788617886179,80.92347712985043,92.0062695924765
French Polynesia,,100.0,97.2,100.0,,100.0,96.96509863429438,100.0
Saudi Arabia,,100.0,95.3,98.7,,100.0,94.90570127899414,97.96238244514107
Solomon Islands,,76.3,32.8,68.5,,74.3089430894309,27.162367223065242,50.6269592476489
San Marino,,100.0,100.0,100.0,,100.0,100.0,100.0
Somalia,,49.3,35.1,50.3,,45.040650406504064,29.655321916323434,22.100313479623818
South Sudan,,7.75,12.0,41.2,,0.0,4.617385649252113,7.836990595611286
Sint Maarten (Dutch part),,100.0,98.8,95.3,,100.0,98.69932798612616,92.63322884012538
Turks and Caicos Islands,,100.0,93.1,98.7,,100.0,92.52113592022545,97.96238244514107
Thailand,,100.0,97.5,99.2,,100.0,97.29026663776284,98.7460815047022
Timor-Leste,,100.0,51.9,76.4,,100.0,47.86473011055712,63.00940438871474
Tonga,,100.0,93.7,98.6,,100.0,93.17147192716236,97.80564263322883
Tuvalu,,99.7,83.4,99.1,,99.67479674796748,82.00737047474529,98.58934169278996
Uzbekistan,,99.9,95.6,94.4,,99.89159891598916,95.2308692824626,91.22257053291537
British Virgin Islands,,100.0,96.9,99.9,,100.0,96.63993063082594,99.84326018808778
Virgin Islands (U.S.),,100.0,99.1,98.7,,100.0,99.02449598959461,97.96238244514107
Vanuatu,,70.0,49.9,88.8,,67.47967479674797,45.6969434207674,82.44514106583071
American Samoa,,,55.3,99.0,,,51.54996748319964,98.43260188087774
