country,work_employment_2020,work_emptopop_2020,work_business_2019,work_taxes_2019,work_employment_2020_n,work_emptopop_2020_n,work_business_2019_n,work_taxes_2019_n,work_s
Nicaragua,61.1,60.1,54.4,60.6,57.633587786259554,55.72519083969467,51.49700598802396,24.81132075471698,47.41677634217379
Netherlands,61.2,62.1,76.1,41.2,57.82442748091604,59.54198473282444,83.9820359281437,15.660377358490567,54.25220637509369
Norway,60.8,60.8,82.6,36.2,57.06106870229008,57.06106870229008,93.71257485029939,13.301886792452832,55.28414976183309
Nepal,73.8,34.6,63.2,41.8,81.8702290076336,7.061068702290082,64.67065868263474,15.943396226415093,42.38633815474338
New Zealand,66.4,67.0,86.8,34.6,67.74809160305345,68.89312977099237,100.0,12.547169811320755,62.29709779634164
Oman,64.3,63.3,70.0,27.4,63.74045801526718,61.832061068702295,74.8502994011976,9.150943396226413,52.39344047034837
Pakistan,47.9,47.8,61.0,33.9,32.44274809160306,32.25190839694656,61.377245508982035,12.216981132075471,34.57222078240178
Panama,56.2,54.2,66.6,37.2,48.28244274809161,44.46564885496184,69.76047904191616,13.77358490566038,44.0705388876575
Peru,61.1,64.0,68.7,36.8,57.633587786259554,63.16793893129771,72.90419161676647,13.584905660377355,51.82265599867527
Philippines,55.1,53.4,62.8,43.1,46.18320610687024,42.93893129770993,64.07185628742515,16.556603773584907,42.43764936639756
Papua New Guinea,45.4,45.7,59.8,37.1,27.67175572519084,28.244274809160316,59.58083832335329,13.726415094339623,32.305820988011014
Poland,54.6,55.1,76.4,40.8,45.2290076335878,46.18320610687024,84.43113772455092,15.471698113207545,47.828762394554126
Puerto Rico,33.7,36.6,70.1,64.4,5.343511450381688,10.877862595419852,74.99999999999999,26.603773584905664,29.456286907676798
North Korea,77.0,71.2,,,87.97709923664122,76.90839694656489,,,41.221374045801525
Portugal,53.8,54.1,76.5,39.8,43.70229007633588,44.27480916030535,84.58083832335329,14.999999999999998,46.88948438999863
Paraguay,64.9,64.8,59.1,35.0,64.88549618320613,64.69465648854963,58.53293413173653,12.735849056603774,50.21223396502401
Palestine,31.1,30.3,60.0,15.3,0.3816793893129825,-1.1450381679389272,59.880239520958085,3.443396226415095,15.64006924218681
French Polynesia,45.7,48.2,,,28.244274809160316,33.01526717557253,,,15.314885496183212
Qatar,83.3,87.5,68.7,11.3,100.0,108.01526717557252,72.90419161676647,1.5566037735849059,70.61901564148098
Romania,52.4,52.3,73.3,20.0,41.030534351145036,40.839694656488554,79.79041916167665,5.660377358490566,41.8302563819502
Russia,57.6,58.2,78.2,46.2,50.95419847328245,52.09923664122138,87.12574850299401,18.018867924528305,52.04951288550654
Rwanda,79.2,49.6,76.5,33.2,92.17557251908397,35.68702290076337,84.58083832335329,11.886792452830191,56.0825565490077
Saudi Arabia,50.6,55.6,70.9,15.7,37.59541984732825,47.13740458015268,76.19760479041918,3.6320754716981125,41.14062617239955
Sudan,38.6,38.9,44.8,45.4,14.694656488549622,15.267175572519085,37.12574850299401,17.641509433962263,21.18227249950624
Senegal,41.1,48.5,59.3,44.8,19.465648854961838,33.58778625954199,58.83233532934131,17.358490566037734,32.31106525247072
Singapore,66.0,67.4,86.2,21.0,66.98473282442748,69.65648854961835,99.10179640718563,6.132075471698113,60.46877331323239
Solomon Islands,83.2,82.5,55.3,32.0,99.80916030534351,98.4732824427481,52.8443113772455,11.320754716981131,65.61187721057956
Sierra Leone,54.5,51.4,47.5,30.7,45.0381679389313,39.12213740458015,41.16766467065868,10.70754716981132,34.008879295995364
El Salvador,48.8,52.9,65.3,36.4,34.160305343511446,41.98473282442748,67.81437125748504,13.39622641509434,39.33890896012958
Somalia,41.3,27.1,20.0,,19.847328244274806,-7.251908396946559,0.0,,3.1488549618320616
Serbia,49.3,49.4,75.7,36.6,35.11450381679389,35.30534351145038,83.38323353293414,13.49056603773585,41.823411724728565
South Sudan,60.9,60.3,34.6,31.4,57.25190839694657,56.10687022900763,21.856287425149706,11.037735849056604,36.563200475040134
Sao Tome and Principe,47.7,45.3,45.0,37.0,32.061068702290086,27.48091603053435,37.4251497005988,13.679245283018869,27.661594929110528
Suriname,44.1,48.5,47.5,27.9,25.190839694656493,33.58778625954199,41.16766467065868,9.386792452830187,27.33327076942184
Slovak Republic,55.0,55.1,75.6,49.7,45.99236641221374,46.18320610687024,83.23353293413173,19.669811320754718,48.76972919349261
Slovenia,54.4,54.9,76.5,31.0,44.84732824427481,45.80152671755725,84.58083832335329,10.849056603773585,46.51968747223974
Sweden,58.8,58.8,82.0,49.1,53.24427480916031,53.24427480916031,92.81437125748504,19.38679245283019,54.67242833215896
Eswatini,39.0,37.7,59.5,35.8,15.458015267175576,12.97709923664123,59.13173652694611,13.113207547169809,25.17001464448318
Syria,38.8,39.0,42.0,42.7,15.076335877862594,15.458015267175576,32.93413173652695,16.367924528301888,19.959101852466752
Chad,66.5,58.3,36.9,63.5,67.93893129770993,52.29007633587786,25.299401197604787,26.17924528301887,42.926913528552866
Togo,55.0,55.0,62.3,48.2,45.99236641221374,45.99236641221374,63.32335329341318,18.962264150943398,43.567587567196014
Thailand,65.4,66.3,80.1,29.5,65.83969465648858,67.55725190839695,89.97005988023952,10.141509433962264,58.377128969771825
Tajikistan,36.0,37.6,61.3,67.3,9.732824427480919,12.786259541984737,61.82634730538923,27.971698113207548,28.07928234701561
Turkmenistan,54.1,43.7,,,44.27480916030535,24.427480916030543,,,17.175572519083975
Timor-Leste,63.9,63.0,39.4,17.3,62.97709923664122,61.25954198473283,29.04191616766467,4.386792452830189,39.416337460467226
Tonga,43.6,51.9,61.4,27.5,24.23664122137405,40.0763358778626,61.97604790419162,9.19811320754717,33.87178455274386
Trinidad and Tobago,53.1,52.8,61.3,40.5,42.36641221374047,41.79389312977099,61.82634730538923,15.330188679245284,40.32921033203649
Tunisia,38.3,37.3,68.7,60.7,14.122137404580151,12.213740458015266,72.90419161676647,24.858490566037737,31.02464001134991
Turkey,43.4,42.8,76.8,42.3,23.85496183206107,22.709923664122133,85.02994011976048,16.179245283018865,36.94351772474064
Taiwan,56.4,,,,48.66412213740458,,,,12.166030534351146
Tanzania,81.4,78.2,54.5,43.8,96.37404580152673,90.2671755725191,51.64670658682635,16.886792452830186,63.79368010342559
Uganda,65.3,66.2,60.0,33.7,65.64885496183206,67.36641221374047,59.880239520958085,12.122641509433965,51.25453705149115
Ukraine,47.5,49.9,70.2,45.2,31.679389312977104,36.25954198473283,75.1497005988024,17.547169811320757,40.15895042695827
Uruguay,53.2,54.9,61.5,41.8,42.55725190839696,45.80152671755725,62.125748502994014,15.943396226415093,41.60698083884083
USA,56.3,56.4,84.0,36.6,48.47328244274809,48.66412213740458,95.80838323353294,13.49056603773585,51.60908846285537
Uzbekistan,55.8,52.7,69.9,31.6,47.51908396946565,41.60305343511451,74.70059880239522,11.132075471698114,43.73870291966837
St. Vincent and the Grenadines,50.9,49.6,57.1,37.0,38.16793893129771,35.68702290076337,55.538922155688624,13.679245283018869,35.76828231769214
Venezuela,48.6,47.4,30.2,73.3,33.77862595419848,31.48854961832061,15.26946107784431,30.80188679245283,27.83463086070406
Virgin Islands (U.S.),50.8,44.9,,,37.977099236641216,26.7175572519084,,,16.173664122137403
Vietnam,73.9,71.7,69.8,37.6,82.0610687022901,77.86259541984734,74.55089820359282,13.962264150943396,62.10920661916841
Vanuatu,67.2,67.2,61.1,8.5,69.27480916030535,69.27480916030535,61.52694610778443,0.2358490566037736,50.078103371249725
Samoa,39.2,48.2,62.1,19.3,15.83969465648856,33.01526717557253,63.02395209580838,5.330188679245283,29.30227565177869
Yemen,33.0,32.7,31.8,26.6,4.0076335877862626,3.435114503816802,17.664670658682635,8.773584905660378,8.470250913986519
South Africa,36.7,41.4,67.0,29.2,11.068702290076345,20.0381679389313,70.35928143712574,10.0,27.866537916533346
Zambia,65.2,57.2,66.9,15.6,65.45801526717558,50.190839694656496,70.20958083832338,3.5849056603773586,47.360835365133205
Zimbabwe,76.3,60.0,54.5,31.6,86.6412213740458,55.53435114503817,51.64670658682635,11.132075471698114,51.23858864440211
Antigua and Barbuda,,,60.3,43.0,,,60.32934131736526,16.50943396226415,19.209693819907354
Dominica,,,60.5,32.6,,,60.628742514970064,11.60377358490566,18.05812902496893
"Micronesia, Fed. Sts.",,,48.1,60.5,,,42.06586826347306,24.764150943396228,16.70750480171732
Grenada,,,53.4,47.8,,,50.0,18.773584905660375,17.193396226415093
Kiribati,,,46.9,32.7,,,40.26946107784431,11.650943396226417,12.980101118517682
St. Kitts and Nevis,,,54.6,49.7,,,51.796407185628745,19.669811320754718,17.866554626595864
Kosovo,,,73.2,15.2,,,79.64071856287426,3.396226415094339,20.759236244492147
Liechtenstein,,,64.8,21.6,,,67.06586826347306,6.415094339622643,18.370240650773926
Marshall Islands,,,50.9,65.9,,,46.25748502994012,27.311320754716984,18.392201446164275
Palau,,,53.7,76.6,,,50.44910179640719,32.35849056603773,20.70189809061123
San Marino,,,64.2,36.2,,,66.16766467065868,13.301886792452832,19.86738786577788
Seychelles,,,61.7,30.1,,,62.42514970059881,10.424528301886792,18.2124195006214
