country,health_life_2022,health_doc_2017,health_spending_2010,health_uhc_2021
Sri Lanka,77.9,0.911,2.94,67.0
Lesotho,50.7,,11.1,53.0
Lithuania,74.3,4.44,7.04,75.0
Luxembourg,83.4,2.98,7.77,83.0
Latvia,76.3,3.18,6.68,75.0
Morocco,74.0,0.732,5.2,69.0
Monaco,80.4,,4.3,86.0
Moldova,71.9,4.09,11.7,71.0
Madagascar,64.8,,3.77,35.0
Maldives,79.8,1.84,6.33,61.0
Mexico,76.3,2.42,,75.0
Marshall Islands,65.9,,18.1,59.0
North Macedonia,71.1,,7.09,74.0
Mali,61.6,0.116,4.98,41.0
Malta,83.1,,8.65,85.0
Myanmar,70.1,0.882,1.97,52.0
Montenegro,75.7,2.62,9.11,72.0
Mongolia,68.9,,5.44,65.0
Mozambique,56.9,0.076,5.21,44.0
Mauritania,69.7,0.19,4.41,40.0
Mauritius,74.3,2.26,6.0,66.0
Malawi,63.5,,6.59,48.0
Malaysia,75.5,1.81,4.39,76.0
Namibia,60.0,0.601,6.78,63.0
Niger,61.7,0.022,5.16,35.0
Nigeria,65.2,,5.07,38.0
Nicaragua,76.0,0.975,,70.0
Netherlands,82.2,3.59,11.9,85.0
Norway,83.3,4.74,9.48,87.0
Nepal,72.0,0.892,5.25,54.0
Nauru,63.9,,11.2,60.0
New Zealand,82.2,3.3,10.1,85.0
Oman,70.1,2.01,2.77,70.0
Pakistan,65.5,0.961,2.2,45.0
Panama,79.0,1.59,8.1,78.0
Peru,77.3,,5.08,71.0
Philippines,72.2,0.669,3.61,58.0
Palau,68.1,,10.3,65.0
Papua New Guinea,65.1,,3.58,30.0
Poland,77.2,2.34,7.46,82.0
North Korea,73.5,3.67,,68.0
Portugal,82.3,5.12,11.0,88.0
Paraguay,73.3,,5.87,72.0
Palestine,73.0,1.77,,
Qatar,76.8,,1.81,76.0
Romania,73.2,2.97,5.58,78.0
Russia,69.2,4.08,5.08,79.0
Rwanda,69.4,0.135,10.5,49.0
Saudi Arabia,75.1,2.41,4.29,74.0
Sudan,70.2,0.263,6.32,44.0
Senegal,67.9,0.07,5.66,50.0
Singapore,85.2,2.32,3.96,89.0
Solomon Islands,59.5,,8.55,47.0
Sierra Leone,61.9,,13.1,41.0
El Salvador,74.6,,6.91,78.0
San Marino,82.6,,7.13,77.0
Somalia,57.5,,,27.0
Serbia,73.1,,10.4,72.0
South Sudan,63.4,,,34.0
Sao Tome and Principe,71.2,,7.17,59.0
Suriname,70.7,1.15,7.01,63.0
Slovak Republic,75.2,3.42,8.79,82.0
Slovenia,81.9,3.05,9.41,84.0
Sweden,83.3,4.27,9.63,85.0
Eswatini,54.2,0.181,6.61,56.0
Seychelles,71.2,,3.4,75.0
Syria,74.4,,3.41,64.0
Chad,60.1,0.043,4.53,29.0
Togo,65.8,0.074,7.65,44.0
Thailand,79.1,0.788,3.88,82.0
Tajikistan,70.0,,5.98,67.0
Turkmenistan,71.2,,2.5,75.0
