country,eco_gdp_2022,eco_inflation_2022,eco_invest_2020,eco_trade_2020
Sudan,3570,117,5.79,0.295
Senegal,3560,8.45,35.6,-18.6
Singapore,108k,9.05,22.6,31.2
Solomon Islands,2250,6.99,16.7,-4.34
Sierra Leone,1640,25.3,12.1,-21.4
El Salvador,9400,7.52,17.1,-17.4
San Marino,64.5k,,18.1,24.1
Somalia,1160,6.54,,-50.4
Serbia,20.5k,10.4,24.2,-8.28
South Sudan,386,,,
Sao Tome and Principe,4010,16.3,,
Suriname,14.9k,43.9,,
Slovak Republic,33.2k,7.48,19.9,1.62
Slovenia,42.2k,6.48,20.1,8.94
Sweden,54.8k,5.98,25.1,4.48
Eswatini,9130,8.79,12.3,2.95
Seychelles,29.8k,-4.47,56.5,-23.8
Syria,3350,,,-18.8
Chad,1410,18.7,20.6,-15.3
Togo,2210,5.02,19.8,-8.93
Thailand,17.5k,4.72,23.7,5.19
Tajikistan,4140,6.02,33.5,-21.1
Turkmenistan,14.7k,11.2,,-0.299
Timor-Leste,4090,11.4,16.5,-11.4
Tonga,6040,,24.5,-44.4
Trinidad and Tobago,23.5k,20.8,,
Tunisia,10.6k,7.57,12.5,-8.15
Turkey,33k,96,31.3,-3.1
Tuvalu,4590,5.55,,
Taiwan,58.7k,,,
Tanzania,2620,2.72,38.7,-0.955
Uganda,2280,4.92,24.2,-6.17
Ukraine,10.7k,34.3,8.93,-1.51
Uruguay,24.4k,4.41,16.4,4.4
USA,64.7k,7.04,21.1,-2.98
Uzbekistan,8070,13.8,40.0,-13.5
St. Vincent and the Grenadines,14.6k,3.66,,
Venezuela,6180,,,
Vietnam,11.4k,3.86,31.9,5.52
Vanuatu,2790,12.4,46.9,-31.6
Samoa,5120,5.64,33.2,-19.1
Yemen,1720,,,
South Africa,13.5k,4.76,12.5,4.37
Zambia,3300,6.1,32.3,14.3
Zimbabwe,2140,265,13.1,-2.73
Aruba,,3.41,22.7,-13.5
American Samoa,,14.2,,-35.9
Bermuda,,2.87,12.2,25.1
Channel Islands,,,,
Cayman Islands,,9.52,,13.8
Faeroe Islands,,3.89,28.5,-1.37
Isle of Man,,,,
Greenland,,,31.8,-10.8
Guam,,,,-51.2
Kosovo,,6.72,33.4,-32.2
Liechtenstein,,,,
"Macao, China",,-0.429,26.1,1.44
Northern Mariana Islands,,,,-47.6
New Caledonia,,3.85,,
Curaçao,,4.04,,
Puerto Rico,,3.18,10.9,17.2
French Polynesia,,1.79,22.3,-23.9
Sint Maarten (Dutch part),,3.46,,
Turks and Caicos Islands,,2.64,,
Virgin Islands (U.S.),,,,-37.4
