country,edu_adulit_2011,edu_prim_2020,edu_femalit_2009,edu_exp_2015,edu_adulit_2011_n,edu_prim_2020_n,edu_femalit_2009_n,edu_exp_2015_n
North Macedonia,97.4,89.2,99.6,,96.38554216867469,50.76142131979696,67.98336798336797,
Mali,33.4,,,13.4,0.0,,,23.792756539235413
Malta,,97.8,,22.8,,61.67512690355329,,47.434607645875246
Myanmar,92.7,,99.2,,89.30722891566265,,67.15176715176715,
Montenegro,98.5,101.0,,,98.04216867469877,65.73604060913706,,
Mongolia,97.4,97.0,103.0,13.2,96.38554216867469,60.65989847715736,75.05197505197505,23.289738430583498
Mozambique,,61.5,81.5,,,15.60913705583756,30.353430353430348,
Mauritania,58.6,,90.8,9.6,37.95180722891567,,49.68814968814967,14.235412474849094
Mauritius,88.8,95.9,102.0,12.5,83.43373493975903,59.263959390862944,72.97297297297297,21.52917505030181
Malawi,,,99.0,9.55,,,66.73596673596674,14.109657947686118
Malaysia,,100.0,100.0,16.1,,64.46700507614213,68.81496881496881,30.58350100603622
Namibia,,,104.0,,,,77.13097713097713,
Niger,,,,22.5,,,,46.680080482897374
Nigeria,,,83.6,,,,34.7193347193347,
Nicaragua,,,,,,,,
Nepal,57.4,,88.3,12.4,36.14457831325301,,44.49064449064448,21.277665995975855
Oman,,92.1,,,,54.44162436548223,,
Pakistan,,,,8.1,,,,10.462776659959758
Panama,,87.0,99.6,,,47.96954314720812,67.98336798336797,
Peru,,,,12.6,,,,21.780684104627763
Philippines,,98.1,,,,62.05583756345177,,
Palau,,,,,,,,
Papua New Guinea,62.4,,109.0,,43.67469879518072,,87.52598752598752,
Poland,99.7,,100.0,23.8,99.84939759036145,,68.81496881496881,49.9496981891348
Puerto Rico,90.3,,101.0,,85.69277108433734,,70.89397089397089,
North Korea,,,,,,,,
Portugal,95.4,103.0,100.0,22.5,93.37349397590361,68.2741116751269,68.81496881496881,46.680080482897374
Paraguay,,83.0,,,,42.89340101522842,,
