country,env_foot_2022,env_co2_2022,env_water_2020,env_sdi_2019,env_foot_2022_n,env_co2_2022_n,env_water_2020_n,env_sdi_2019_n,env_s
Afghanistan,1.38,0.284,54.8,55.1,98.93230083304,99.05404414460658,98.57732493992295,60.98191214470285,89.3863955155681
Angola,2.18,1.23,1.87,62.6,97.9936642027455,95.5855393414974,99.95213991912566,70.671834625323,91.0507945221729
Albania,13.0,2.1,4.72,82.6,85.29860377801243,92.39568820121727,99.87811341826173,96.51162790697674,93.52100832611706
UAE,69.0,21.1,1590.0,11.0,19.59403965739763,22.732272493950276,58.701716474553606,4.0051679586563305,26.25829914613946
Argentina,15.8,3.85,10.5,77.7,82.0133755719817,85.97932096502163,99.72798247966752,90.18087855297159,89.4753893924106
Armenia,5.95,2.7,57.1,82.7,93.57033908248269,90.19579086309305,98.51758425501522,96.64082687338502,94.731135268494
Australia,46.8,13.9,3.47,15.0,45.641206148069934,49.13104055144093,99.91058118179853,9.173126614987082,50.96398862407412
Austria,24.6,9.2,9.64,25.2,71.68837263874222,66.36356970008066,99.75032030098085,22.35142118863049,65.03842095710854
Azerbaijan,10.6,3.84,55.6,79.6,88.11451366889594,86.01598592065704,98.55654557125939,92.63565891472868,91.33067601888527
Burundi,1.71,0.051,10.2,46.7,98.54511322304353,99.90833761091149,99.73577474291635,50.12919896640828,87.07960613581992
Belgium,33.5,16.9,51.6,42.9,61.24604012671595,38.131553860819835,98.66044241457719,45.219638242894064,60.814418661251764
Benin,3.4,0.71,0.975,58.7,96.5622433415464,97.49211703453838,99.97538683781802,65.63307493540053,89.91570553732583
Burkina Faso,2.96,0.306,7.82,48.7,97.07849348820838,98.9733812422087,99.79759336469044,52.71317829457365,87.14066159742029
Bangladesh,2.88,0.844,5.72,68.1,97.17235715123783,97.00080662902398,99.85213920743229,77.77777777777779,92.95077019136797
Bulgaria,15.0,5.82,37.5,74.4,82.9520122022762,78.7563247048471,99.0266787872724,85.91731266149871,86.6630820889736
Bahrain,23.8,16.0,134.0,48.8,72.62700926903673,41.43139986800616,96.52016744223063,52.84237726098192,65.85523846006387
Bahamas,37.8,4.75,,27.1,56.200868238883025,82.6794749578353,,24.806201550387602,40.92163618677648
Bosnia and Herzegovina,14.4,6.45,2.0,71.5,83.65598967499707,76.44643249981667,99.94876327171782,82.17054263565892,85.55543202054763
Belarus,5.59,6.32,4.38,,93.99272556611521,76.92307692307692,99.88694464994374,,67.70068678478397
Belize,12.2,1.52,1.26,75.3,86.23724040830693,94.5222556280707,99.96798418773162,87.08010335917312,91.9518958958206
Bolivia,11.3,1.99,1.18,77.3,87.29320661738825,92.79900271320672,99.97006212459797,89.66408268733849,92.43158853563287
Brazil,18.9,2.11,1.48,75.4,78.37615862959052,92.35902324558187,99.96226986134914,87.2093023255814,89.47668851552574
Brunei,85.7,24.5,3.47,33.8,0.0,10.26618757791303,99.91058118179853,33.4625322997416,35.909825264863294
Bhutan,32.4,1.8,1.41,68.3,62.53666549337088,93.49563687027938,99.9640880561072,78.03617571059432,83.50814153258794
Botswana,14.2,5.1,2.31,33.5,83.89064883257069,81.39620151059617,99.9407112663607,33.0749354005168,74.57562425251109
Central African Republic,1.57,0.071,0.336,42.8,98.70937463334506,99.83500769964068,99.99198435853803,45.090439276485796,85.90670149200238
Canada,35.0,13.2,3.73,19.1,59.48609644491376,51.6975874459192,99.90382788698288,14.4702842377261,56.38944900388549
Switzerland,31.1,11.6,6.5,25.7,64.06195001759943,57.56398034758378,99.83187932298532,22.997416020671835,61.11380642721009
Chile,13.5,4.54,8.98,73.7,84.71195588407838,83.44943902617878,99.76746328012828,85.01291989664084,88.23544452175656
China,22.0,7.38,41.5,51.7,74.73894168719934,73.03659162572413,98.92278194395462,56.589147286821714,75.82186563592495
Cote d'Ivoire,3.26,0.596,5.09,58.0,96.72650475184794,97.91009752878199,99.86850296025483,64.72868217054264,89.80844685285685
Cameroon,2.13,0.408,1.56,60.7,98.05232899213892,98.59939869472758,99.96019192448279,68.2170542635659,91.2072434687288
"Congo, Dem. Rep.",2.75,0.026,0.227,51.7,97.32488560366069,100.0,99.99481554751844,56.589147286821714,88.47721210950021
"Congo, Rep.",1.88,0.674,0.0274,61.8,98.34565293910595,97.62411087482585,100.0,69.63824289405686,91.40200167699716
Colombia,9.09,2.39,4.36,80.1,89.8861903085768,91.33240448779057,99.88746413416033,93.28165374677002,93.59692816932443
Costa Rica,14.4,2.38,5.35,85.3,83.65598967499707,91.36906944342597,99.86174966543918,100.0,93.72170219596555
Cuba,9.19,2.55,23.9,81.4,89.76886072978998,90.74576519762411,99.3799280545529,94.96124031007753,93.71394857301114
Cyprus,36.6,5.62,37.6,33.8,57.60882318432476,79.48962381755518,99.02408136618946,33.4625322997416,67.39626516695276
Czech Republic,21.3,9.84,20.8,37.6,75.56024873870703,64.01701253941482,99.4604481081242,38.37209302325582,69.35245060237547
Germany,19.4,9.3,33.5,39.3,77.78951073565646,65.99692014372663,99.1305756305902,40.56847545219639,70.87137049054242
Djibouti,15.9,0.734,6.33,56.3,81.89604599319489,97.40412114101342,99.83629493882631,62.532299741602074,85.41719045365917
Denmark,25.9,7.68,26.4,35.5,70.16308811451367,71.93664295666203,99.31499252747929,35.65891472868218,69.26840958183429
Dominican Republic,9.54,3.11,39.6,80.2,89.35820720403613,88.6925276820415,98.97213294453057,93.4108527131783,92.60843013594663
Algeria,11.2,3.88,138.0,80.3,87.41053619617506,85.86932609811542,96.41627059891283,93.54005167958657,90.80904614319746
Ecuador,7.74,2.7,6.78,78.3,91.47013962219876,90.19579086309305,99.82460654395307,90.95607235142118,93.11165234516652
Egypt,8.22,2.4,141.0,75.5,90.90695764402206,91.29573953215517,96.3383479664245,87.33850129198966,91.46988660864784
Eritrea,3.47,0.234,11.2,,96.48011263639563,99.2373689227836,99.7098005320869,,73.85682052281653
Spain,13.5,5.66,43.3,46.2,84.71195588407838,79.34296399501356,98.8760283644616,49.483204134366936,78.10353809448011
Estonia,37.5,10.4,9.23,20.1,56.55285697524346,61.96377502383222,99.76096972742091,15.762273901808788,58.50996890707634
