country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Israel,4.154999999999999,1.33,5.145,10.275,8.13,6.620000000000001,0.41,5.03,7.690000000000001,3.955
Italy,5.49,3.44,4.665,11.94,8.89,7.07,0.5950000000000001,3.83,8.31,4.39
Jamaica,2.415,3.1100000000000003,0.405,13.77,6.76,4.5,0.24,4.94,5.2700000000000005,3.8200000000000003
Jordan,1.2,1.175,0.255,13.815,7.670000000000001,5.3500000000000005,0.25,2.14,5.220000000000001,1.67
Japan,4.965,0.0,4.965,10.155,8.690000000000001,5.870000000000001,0.385,5.44,8.53,4.75
Kazakhstan,2.4,1.6800000000000002,5.355,9.93,7.6000000000000005,5.68,0.55,5.620000000000001,6.45,1.01
Kenya,1.125,1.135,3.7349999999999994,13.71,3.5100000000000002,3.39,1.115,6.010000000000001,3.89,2.67
Kyrgyz Republic,1.6049999999999998,1.6800000000000002,0.375,13.725,7.1000000000000005,4.44,1.0550000000000002,4.2,5.8500000000000005,1.79
Cambodia,1.2,0.7250000000000001,4.365,13.395,4.78,3.83,0.845,5.8500000000000005,4.09,1.3550000000000002
Kiribati,0.3,0.7250000000000001,1.32,3.6599999999999997,4.960000000000001,4.07,0.555,1.3,3.5600000000000005,2.5
St. Kitts and Nevis,4.815,0.04000000000000001,0.6,6.81,7.31,4.91,0.020000000000000004,1.79,4.3100000000000005,2.29
South Korea,7.409999999999999,0.82,5.625,9.315,8.18,6.3500000000000005,0.79,5.49,8.200000000000001,3.91
Kosovo,0.0,,3.7349999999999994,,0.0,,0.165,2.08,,1.595
Kuwait,2.8049999999999997,0.0,1.185,1.4549999999999998,8.540000000000001,4.53,1.095,5.2700000000000005,4.720000000000001,1.4900000000000002
Lao,1.2299999999999998,0.665,0.42,13.2,5.98,3.5600000000000005,0.65,4.760000000000001,4.14,0.71
Lebanon,2.01,0.0,2.625,13.139999999999999,7.040000000000001,5.390000000000001,0.17500000000000002,2.49,4.29,2.4000000000000004
Liberia,0.21,1.25,0.21,13.23,2.34,4.18,1.21,5.210000000000001,3.84,2.8000000000000003
Libya,2.655,1.915,0.735,11.835,7.01,4.55,0.44000000000000006,1.4100000000000001,3.7,0.96
St. Lucia,2.07,1.02,0.36,7.169999999999999,6.890000000000001,5.34,0.13,4.2700000000000005,3.24,3.2200000000000006
Liechtenstein,4.815,0.645,0.0,3.225,7.5,0.0,0.7150000000000001,1.8399999999999999,5.79,2.29
Sri Lanka,2.175,0.86,5.430000000000001,14.46,6.859999999999999,4.29,0.81,3.8200000000000003,5.370000000000001,2.58
Lesotho,0.57,1.225,2.5349999999999997,9.614999999999998,3.49,3.9299999999999997,0.54,3.48,2.34,3.515
Lithuania,3.87,3.44,4.77,9.54,8.16,6.19,0.68,5.210000000000001,7.16,4.325
Luxembourg,7.29,0.9400000000000001,7.02,7.515,8.49,6.440000000000001,0.7650000000000001,4.420000000000001,8.709999999999999,3.64
