country,com_fixed_2020,com_cell_2020,com_broad_2020,com_pcs_2005
Peru,6.63,118.0,8.29,10.0
Philippines,4.22,133.0,7.07,5.44
Palau,44.5,134.0,,
Papua New Guinea,1.7,49.4,0.215,6.64
Poland,15.0,128.0,21.8,13.9
Puerto Rico,21.8,107.0,20.5,0.83
North Korea,4.56,23.2,,
Portugal,50.6,115.0,40.4,15.3
Paraguay,3.77,119.0,8.5,7.47
Palestine,9.14,79.6,7.39,5.27
French Polynesia,31.1,111.0,21.2,10.9
Qatar,16.5,138.0,10.7,17.8
Romania,15.6,116.0,29.2,12.9
Russia,17.7,164.0,23.2,12.2
Rwanda,0.0888,80.7,0.135,0.21
Saudi Arabia,16.0,120.0,21.9,12.8
Sudan,0.291,79.2,0.0648,8.97
Senegal,1.39,116.0,1.08,2.14
Singapore,32.0,143.0,25.5,68.4
Solomon Islands,1.01,68.6,0.145,4.6
Sierra Leone,0.0023,83.6,0.00219,
El Salvador,14.2,158.0,9.31,5.09
San Marino,47.0,115.0,32.3,86.7
Somalia,0.55,53.5,0.72,0.91
Serbia,37.4,120.0,25.2,
South Sudan,,12.7,,
Sao Tome and Principe,1.28,79.7,1.15,3.83
Suriname,17.0,148.0,15.2,4.45
Slovak Republic,11.9,134.0,31.2,35.7
Slovenia,33.3,120.0,30.8,41.1
Sweden,14.3,123.0,40.3,83.5
Eswatini,3.98,106.0,2.31,4.07
Seychelles,17.9,174.0,33.1,19.8
Syria,13.8,80.2,7.45,4.2
Turks and Caicos Islands,9.03,,,
Chad,0.0321,52.2,0.0,0.16
Togo,0.551,77.2,0.624,3.01
Thailand,7.0,163.0,16.1,6.86
Tajikistan,5.26,121.0,0.0629,1.3
Turkmenistan,12.5,98.6,3.79,7.2
Timor-Leste,0.155,106.0,0.00638,
Tonga,6.65,58.9,4.75,5.86
Trinidad and Tobago,21.3,131.0,24.8,9.88
Tunisia,12.6,122.0,11.0,5.62
Turkey,14.8,97.6,19.9,5.56
Tuvalu,18.1,81.3,,8.05
Tanzania,0.117,83.0,1.84,0.93
Uganda,0.204,62.4,0.0779,1.04
Ukraine,7.94,129.0,18.6,3.89
Uruguay,35.1,133.0,31.0,13.0
USA,30.3,105.0,36.1,77.3
Uzbekistan,16.3,99.6,15.8,2.82
St. Vincent and the Grenadines,16.7,95.9,23.6,13.9
Venezuela,18.4,58.1,8.99,9.25
British Virgin Islands,66.0,114.0,22.9,
Virgin Islands (U.S.),75.7,79.6,,2.68
Vietnam,3.32,144.0,17.3,6.9
Vanuatu,1.11,79.0,0.894,1.42
Samoa,2.79,32.1,0.787,1.89
Yemen,3.84,47.0,1.21,1.91
South Africa,3.57,163.0,2.22,8.36
Zambia,0.38,101.0,0.435,1.12
Zimbabwe,1.61,84.2,1.3,6.53
Sint Maarten (Dutch part),,,,
Anguilla,,,,20.5
Falkland Is (Malvinas),,,,29.4
Tokelau,,,,
