country,energy_use_2014,energy_import_2014,energy_alternative_2014,energy_renewable_2020,energy_use_2014_n,energy_import_2014_n,energy_alternative_2014_n,energy_renewable_2020_n,energy_s
China,2220.0,15.0,5.11,14.8,10.876317,7.3275833,10.30242,15.384616,10.972733974456787
Cote d'Ivoire,603.0,7.08,0.795,63.3,2.725128,8.010353,1.6028227,65.800415,19.5346796810627
Cameroon,341.0,-28.3,4.6,78.9,1.4044038,11.0603485,9.274194,82.01663,25.938894540071487
"Congo, Dem. Rep.",378.0,1.96,2.36,96.2,1.5909183,8.451721,4.7580643,100.0,28.700175940990448
"Congo, Rep.",531.0,-497.0,1.43,71.9,2.362181,51.46552,2.8830645,74.74013,32.862722992897034
Colombia,729.0,-274.0,9.2,31.3,3.3602855,32.24138,18.548388,32.536385,21.671609103679657
Comoros,,,,48.3,,,,50.2079,12.55197525024414
Cape Verde,,,,23.4,,,,24.324326,6.081081390380859
Costa Rica,1010.0,49.8,14.2,36.4,4.7767878,4.3275757,28.629034,37.83784,18.892809629440308
Cuba,1030.0,49.8,0.0854,23.9,4.8776064,4.3275757,0.17217742,24.844076,8.555358912795782
Cyprus,1680.0,94.0,5.23,15.0,8.154212,0.51724243,10.544355,15.592516,8.702081441879272
Czech Republic,3920.0,29.0,20.8,17.0,19.445902,6.1206894,41.935486,17.671518,21.2933988571167
Germany,3780.0,60.9,13.0,18.6,18.740171,3.3706894,26.209679,19.33472,16.913815021514893
Djibouti,,,,31.9,,,,33.160084,8.290020942687988
Dominica,,,,8.31,,,,8.638254,2.1595635414123535
Denmark,2870.0,0.944,9.89,39.7,14.152922,8.539314,19.939518,41.268192,20.97498655319214
Dominican Republic,743.0,86.7,2.34,16.7,3.4308586,1.1465607,4.717742,17.359669,6.663707494735718
Algeria,1330.0,-177.0,0.0301,0.15,6.389886,23.87931,0.060685486,0.15592517,7.6214517913758755
Ecuador,889.0,-115.0,6.21,20.1,4.166835,18.534485,12.520162,20.893972,14.028863430023193
Egypt,783.0,-7.39,1.5,6.51,3.6324959,9.257759,3.0241935,6.767152,5.670400083065033
Eritrea,245.0,22.3,0.0211,80.9,0.9204743,6.6982727,0.042540323,84.095634,22.939230444841087
Spain,2460.0,69.4,21.6,19.4,12.086141,2.6379318,43.54839,20.16632,19.60969567298889
Estonia,4590.0,3.4,0.618,40.0,22.823326,8.327583,1.2459677,41.580044,18.49423024058342
Ethiopia,485.0,5.93,1.18,89.5,2.1302981,8.109474,2.3790321,93.03535,26.413537859916687
Finland,6210.0,46.2,23.2,47.5,30.989637,4.6379395,46.774197,49.3763,32.94451856613159
Fiji,,,,31.8,,,,33.056133,8.264033317565918
France,3660.0,43.5,49.6,16.9,18.135258,4.8706894,100.0,17.567568,35.14337873458862
Gabon,2580.0,-213.0,1.21,90.1,12.691052,26.982758,2.4395163,93.65905,33.943094074726105
